   13   39
        0.3096118261       -0.0807258240       -0.0080101810
        0.0043278850       -0.0003624235        0.0002597169
        0.0004991624       -0.0004064502       -0.0003435572
        0.0003101219        0.0003302693        0.0002749356
       -0.0083740300        0.0010444419        0.0006624948
       -0.2905818163        0.0734401067        0.0093794927
       -0.0175939457        0.0058606487       -0.0000195249
       -0.0000513563       -0.0001663840        0.0000278142
       -0.0000560747        0.0000217171       -0.0000278066
        0.0001694967        0.0005712841        0.0001645171
        0.0001456674        0.0000294030       -0.0001777896
        0.0010043093        0.0006752519       -0.0018207010
        0.0005887541       -0.0003120411       -0.0003694111
       -0.0807258240        0.0758885616        0.0021021226
        0.0143119223       -0.0106664141       -0.0074480345
        0.0013210504       -0.0008668713       -0.0006120909
        0.0007945250        0.0003338351       -0.0007902415
        0.0112665268       -0.0026981559       -0.0011708353
        0.0774335489       -0.0705146636        0.0044834027
       -0.0235369121        0.0087128576        0.0009532189
       -0.0001663840       -0.0005206095        0.0003884527
        0.0001234468       -0.0000863724       -0.0000414034
       -0.0004501496       -0.0002122229        0.0003057473
       -0.0003983027        0.0001663531        0.0001400284
        0.0004596534       -0.0002887058        0.0018366860
       -0.0004331013        0.0007524081       -0.0001470528
       -0.0080101810        0.0021021226        0.0521777812
        0.0136626501       -0.0130769712       -0.0065010216
        0.0010111351        0.0002849821       -0.0011854484
       -0.0005034837       -0.0012412272        0.0005391266
       -0.0302294645        0.0083509702       -0.0000007253
        0.0157081947        0.0032255699       -0.0431535279
        0.0090693571       -0.0023445580        0.0006186615
       -0.0000278142       -0.0003884527        0.0004705587
        0.0001173391       -0.0000729724       -0.0000110755
        0.0005012052        0.0002930650        0.0002492702
        0.0002536754       -0.0000761971       -0.0000179730
       -0.0017591035        0.0036937515       -0.0047549548
        0.0002064901       -0.0007500827        0.0015693282
        0.0043278850        0.0143119223        0.0136626501
        0.0375624283       -0.0282207027        0.0000000000
       -0.0285351526        0.0111240932       -0.0062639444
        0.0011374727       -0.0054042362        0.0034206366
        0.0011374727       -0.0054042362       -0.0034206366
       -0.0285351526        0.0111240932        0.0062639444
        0.0032295615       -0.0060840047       -0.0065183270
        0.0043278850        0.0143119223       -0.0136626501
        0.0032295615       -0.0060840047        0.0065183270
        0.0002621460       -0.0001845033       -0.0003002237
        0.0007968732        0.0003470800        0.0011483477
        0.0002621460       -0.0001845033        0.0003002237
        0.0007968732        0.0003470800       -0.0011483477
       -0.0003624235       -0.0106664141       -0.0130769712
       -0.0282207027        0.2103329951        0.0000000000
        0.0131251659       -0.0780193986        0.0497646532
       -0.0003563636       -0.0027606632        0.0126281083
