   14   42
        0.0346081890       -0.0000003996       -0.0000029200
       -0.0350694842       -0.0000006446       -0.0000038648
        0.0001896700        0.0003653656       -0.0137347598
        0.0001905300       -0.0003662348       -0.0137347990
       -0.0004440403       -0.0000006349        0.0274684254
       -0.0000731643        0.0022375156       -0.0013596400
       -0.0000730392       -0.0022381494       -0.0013597696
       -0.0039489646       -0.0000003945        0.0027185661
        0.0009684805       -0.0007642643       -0.0004211591
        0.0000499256       -0.0001370802        0.0005049958
        0.0000497909        0.0001366510        0.0005051504
        0.0009681804        0.0007639403       -0.0004211944
        0.0012895003        0.0004811307       -0.0000844591
        0.0012895907       -0.0004820942       -0.0000846546
       -0.0000003996        0.0346080594       -0.0000028547
       -0.0000001995       -0.0350689697       -0.0000037801
        0.0003660250       -0.0002325351        0.0237883097
       -0.0003658403       -0.0002324350       -0.0237889896
       -0.0000004400        0.0004007705       -0.0000004445
        0.0022376253       -0.0026568745        0.0023546153
       -0.0022381596       -0.0026570842       -0.0023550541
       -0.0000002746        0.0012191151       -0.0000001842
       -0.0006669444        0.0005704601       -0.0003408746
       -0.0002343944        0.0014885546        0.0001940657
        0.0002336901        0.0014886257       -0.0001944898
        0.0006665852        0.0005701452        0.0003403699
        0.0005786006        0.0002490805        0.0005347204
       -0.0005792248        0.0002490702       -0.0005350449
       -0.0000029200       -0.0000028547        0.1891213594
       -0.0000045145       -0.0000038449       -0.0984539696
       -0.0009342000        0.0016169452       -0.0321926751
       -0.0009341153       -0.0016181747       -0.0321926296
        0.0018669749       -0.0000009544       -0.0321925302
       -0.0027320294        0.0047317451       -0.0003823499
       -0.0027322795       -0.0047320594       -0.0003825545
        0.0054635905       -0.0000003246       -0.0003824391
        0.0000069355       -0.0012461447        0.0011758954
        0.0010756105       -0.0006294505        0.0011757004
        0.0010757003        0.0006289605        0.0011757902
        0.0000066905        0.0012460498        0.0011758158
       -0.0010827296        0.0006169006        0.0011758806
       -0.0010828097       -0.0006173894        0.0011759698
       -0.0350694842       -0.0000001995       -0.0000045145
        0.4897339988        0.0000059504       -0.0000156092
       -0.1057992898        0.0477521706       -0.0160619447
       -0.1057989198       -0.0477415790       -0.0160622739
       -0.1884934801       -0.0000085743        0.0321317452
       -0.0018059643       -0.0006835739        0.0007532554
       -0.0018055340        0.0006824558        0.0007527359
       -0.0006231244       -0.0000003996       -0.0015061585
       -0.0156447243        0.0267455806       -0.0115435347
        0.0062173308       -0.0140099849        0.0050442509
        0.0062169653        0.0140083756        0.0050443356
       -0.0156448095       -0.0267464645       -0.0115438843
       -0.0157438046        0.0014439763        0.0064983902
       -0.0157439695       -0.0014458044        0.0064980151
       -0.0000006446       -0.0350689697       -0.0000038449
        0.0000059504        0.4897340398       -0.0000061749
        0.0477519649       -0.1609258101        0.0278240543
       -0.0477401852       -0.1609256799       -0.0278258545
       -0.0000092905       -0.0782413895       -0.0000004252
       -0.0006830993       -0.0010178195       -0.0013042848
        0.0006821801       -0.0010175347        0.0013034003
       -0.0000004445       -0.0021999750       -0.0000001739
       -0.0013874694       -0.0011360447        0.0008394903
        0.0141220607       -0.0229985352        0.0104154304
       -0.0141246500       -0.0229983948       -0.0104173552
        0.0013870448       -0.0011358202       -0.0008400502
       -0.0266889498       -0.0010372645        0.0095765154
        0.0266879351       -0.0010371048       -0.0095777904
       -0.0000038648       -0.0000037801       -0.0984539696
       -0.0000156092       -0.0000061749        0.3499651291
       -0.0159014348        0.0275450503       -0.0741115400
       -0.0159009551       -0.0275479846       -0.0741114894
        0.0318100496       -0.0000011590       -0.0741114701
       -0.0144954441        0.0251054053       -0.0117437401
       -0.0144952941       -0.0251063045       -0.0117438748
        0.0289893256       -0.0000005650       -0.0117437440
        0.0061166310       -0.0102136846        0.0010084909
        0.0057867709       -0.0104046001        0.0010082204
        0.0057866856        0.0104036661        0.0010084108
        0.0061165503        0.0102131298        0.0010084256
       -0.0119040845       -0.0001905994        0.0010083210
       -0.0119041795        0.0001903908        0.0010086353
        0.0001896700        0.0003660250       -0.0009342000
       -0.1057992898        0.0477519649       -0.0159014348
        0.5689074601        0.0463884948       -0.0217606350
        0.0076739946       -0.0131338453        0.0048906401
       -0.0221900257        0.0303735152       -0.0089806451
       -0.0479732000        0.0001940350       -0.0025165201
        0.0001509653        0.0002696703        0.0001739647
        0.0012980405        0.0000371995       -0.0007936148
       -0.2875846150       -0.0036254499        0.0890107856
       -0.1094091147       -0.1043053805       -0.0438055247
       -0.0013696899       -0.0041000499       -0.0009937901
        0.0006571196       -0.0009730809        0.0000790249
        0.0015761401        0.0005506354       -0.0005445600
       -0.0061320594        0.0002094254        0.0020427348
        0.0003653656       -0.0002325351        0.0016169452
        0.0477521706       -0.1609258101        0.0275450503
        0.0463884948        0.5153489997        0.0376158300
        0.0131322548       -0.0321439148        0.0075454057
        0.0041067852       -0.0022813248       -0.0004629999
        0.0001931852       -0.0481952748        0.0043178801
        0.0006993804        0.0011204355        0.0008149107
       -0.0003925152       -0.0000265402        0.0002564002
       -0.0014582645       -0.0471097445       -0.0007954344
       -0.1064727496       -0.2252685402       -0.0774766846
       -0.0025396400       -0.0038859901       -0.0017860049
        0.0010810248        0.0018191895        0.0005827951
       -0.0015033697        0.0009006959        0.0002225102
       -0.0013505547        0.0008756655       -0.0000327202
       -0.0137347598        0.0237883097       -0.0321926751
       -0.0160619447        0.0278240543       -0.0741115400
       -0.0217606350        0.0376158300        0.5637446202
        0.0048909499       -0.0075466301        0.0056230101
        0.0040888841       -0.0080093054        0.0056228100
       -0.0023750999        0.0040675548       -0.3105399048
        0.0002055850       -0.0002009045        0.0001641297
        0.0000707149       -0.0002785754        0.0001640353
        0.0868928601        0.0005656750       -0.0784989254
       -0.0439243547       -0.0749586451       -0.0784989300
       -0.0009384701       -0.0028441650       -0.0004427551
       -0.0000748349        0.0003253547       -0.0002965749
       -0.0002444551        0.0002273805       -0.0002965947
        0.0029320353       -0.0006100748       -0.0004426806
        0.0001905300       -0.0003658403       -0.0009341153
       -0.1057989198       -0.0477401852       -0.0159009551
        0.0076739946        0.0131322548        0.0048909499
        0.5689067200       -0.0463806850       -0.0217602047
       -0.0221893055       -0.0303753200       -0.0089810050
        0.0001514303       -0.0002698152        0.0001744849
       -0.0479724798       -0.0001916942       -0.0025166696
        0.0012981201       -0.0000374649       -0.0007927497
        0.0006577153        0.0009727802        0.0000796649
       -0.0013694449        0.0040996747       -0.0009935042
       -0.1094085945        0.1043279252       -0.0438049801
       -0.2875844007        0.0035948796        0.0890111949
       -0.0061315052       -0.0002098795        0.0020429303
        0.0015764101       -0.0005509401       -0.0005443758
       -0.0003662348       -0.0002324350       -0.0016181747
       -0.0477415790       -0.1609256799       -0.0275479846
       -0.0131338453       -0.0321439148       -0.0075466301
       -0.0463806850        0.5153486893       -0.0376471297
       -0.0041078749       -0.0022810644        0.0004624656
       -0.0006998243        0.0011208954       -0.0008150647
       -0.0001916794       -0.0481949093       -0.0043475245
        0.0003920604       -0.0000263799       -0.0002567293
       -0.0010811442        0.0018193703       -0.0005831396
        0.0025392103       -0.0038859901        0.0017856007
        0.1064933957       -0.2252685397        0.0774766056
        0.0014303799       -0.0471096104        0.0007950302
        0.0013500107        0.0008758411        0.0000326406
        0.0015028905        0.0009007709       -0.0002226602
       -0.0137347990       -0.0237889896       -0.0321926296
       -0.0160622739       -0.0278258545       -0.0741114894
        0.0048906401        0.0075454057        0.0056230101
       -0.0217602047       -0.0376471297        0.5637445088
        0.0040890848        0.0080078655        0.0056228504
        0.0002055202        0.0002007505        0.0001644207
