   14   42
        0.5133002207        0.0359413201        0.0070643097
       -0.1100279803        0.0466063295       -0.0337826100
        0.0082102446       -0.0112461100        0.0077517194
       -0.0024828904        0.0028184400       -0.0006058002
       -0.0220901006        0.0266556896       -0.0158289657
        0.0019272289       -0.0005026800       -0.0009962906
       -0.0057818352        0.0006346846        0.0022579246
        0.0017717900        0.0006311745       -0.0007618604
       -0.2007273758        0.0274950446        0.0526758896
       -0.0444805346       -0.0026388955       -0.0144017406
       -0.1080141902       -0.1184874753       -0.0136863099
       -0.0192632001       -0.0084359800        0.0037464548
       -0.0129749805        0.0000203391        0.0080074392
        0.0006324444        0.0005354292       -0.0014709752
        0.0359413201        0.5728149506        0.0358107002
        0.0481107298       -0.1516400101        0.0504673955
        0.0170861398       -0.0219153452        0.0155744550
       -0.0034967650        0.0040198245       -0.0047636001
        0.0043222747       -0.0030487604        0.0007843943
       -0.0007427411       -0.0000008453        0.0004756396
       -0.0010993949        0.0007351196        0.0000211247
       -0.0019519746        0.0010263244       -0.0000073805
        0.0269286846       -0.0745294403       -0.0061053555
       -0.0044821445       -0.0576997303       -0.0587186207
       -0.1183849355       -0.2594528701       -0.0274854551
       -0.0315520100       -0.0105901705        0.0062889399
        0.0237040848       -0.0007992753       -0.0113338103
        0.0056433595        0.0010801244       -0.0010454056
        0.0070643097        0.0358107002        0.5992570209
       -0.0337875150        0.0489485996       -0.1143898652
        0.0017078844       -0.0032797851        0.0013287450
       -0.0178550806        0.0260871548       -0.0165774605
        0.0062870942       -0.0097156556        0.0069755794
        0.0011238041       -0.0008541400        0.0006370044
        0.0040142396       -0.0008201499       -0.0008900304
       -0.0000605496       -0.0001101256       -0.0000867703
        0.0522351542       -0.0044662107       -0.1036608256
       -0.0175067902       -0.0604923054       -0.3221731106
       -0.0128203504       -0.0271718602       -0.0487653301
       -0.0067544255       -0.0021511954        0.0023055151
       -0.0158061704        0.0023012836        0.0066607845
        0.0321270494       -0.0041235353       -0.0106215106
       -0.1100279803        0.0481107298       -0.0337875150
        0.5161113506        0.0525789545        0.0040156806
       -0.1098456858       -0.1229423151       -0.0145378397
       -0.0443726196       -0.0042531008       -0.0124299805
       -0.2029254659        0.0075777496        0.0517937343
        0.0004574144       -0.0004844350       -0.0018591504
       -0.0141572355       -0.0015856301        0.0079501848
       -0.0159907546        0.0034261950        0.0073220298
       -0.0218492158        0.0252174192       -0.0154661899
       -0.0018420496        0.0026309698       -0.0004399857
        0.0069616948       -0.0119676349        0.0071377701
        0.0004424896        0.0017488139       -0.0005256101
       -0.0049721899        0.0007153193        0.0019013595
        0.0020091250       -0.0007436955       -0.0011044852
        0.0466063295       -0.1516400101        0.0489485996
        0.0525789545        0.5785210408        0.0330105053
       -0.1240985353       -0.2698377006       -0.0269856798
       -0.0044884598       -0.0602942555       -0.0615118756
        0.0098772438       -0.0790769502       -0.0044390907
        0.0083626190       -0.0010242951       -0.0026003198
        0.0226081744       -0.0011677253       -0.0111202451
       -0.0282191502        0.0026524197        0.0121398449
        0.0050920949       -0.0008546903        0.0000429998
       -0.0036843801        0.0045568999       -0.0043325508
        0.0171196996       -0.0221573549        0.0159326498
        0.0003559251       -0.0006809455        0.0000994447
       -0.0011677457        0.0012193340        0.0003067692
       -0.0009154803       -0.0002161408        0.0004729748
       -0.0337826100        0.0504673955       -0.1143898652
        0.0040156806        0.0330105053        0.5914122301
       -0.0137053746       -0.0253448650       -0.0501312547
       -0.0131729598       -0.0633396553       -0.3156949452
        0.0497363692       -0.0033360055       -0.0993345202
        0.0325642043       -0.0016971052       -0.0117710846
       -0.0169796101        0.0006562601        0.0061796254
       -0.0042378349        0.0001634447        0.0009824151
        0.0053345002       -0.0117349850        0.0071708354
       -0.0171397295        0.0253978953       -0.0158338901
        0.0013712452       -0.0032514492        0.0011785903
        0.0003447752        0.0004695147        0.0004251399
        0.0044371751       -0.0005594455       -0.0011230054
        0.0011843400       -0.0009374503        0.0009294553
        0.0082102446        0.0170861398        0.0017078844
       -0.1098456858       -0.1240985353       -0.0137053746
        0.1245705312        0.1314794395        0.0145166393
       -0.0008545459       -0.0003140303        0.0002135397
       -0.0157440161       -0.0278698559       -0.0034381355
        0.0014860990        0.0002171299       -0.0000174202
        0.0009861344        0.0001484449       -0.0007964906
       -0.0059007800        0.0009200141        0.0029311343
        0.0013038238        0.0001873389        0.0004218441
        0.0004557751       -0.0007560453        0.0003261692
       -0.0019016005        0.0031912748       -0.0016724647
       -0.0027901206        0.0002707543       -0.0004904308
        0.0000876543       -0.0003605413       -0.0000670912
       -0.0000637203       -0.0000752408        0.0000653699
       -0.0112461100       -0.0219153452       -0.0032797851
       -0.1229423151       -0.2698377006       -0.0253448650
        0.1314794395        0.2920842110        0.0257657098
       -0.0027853201       -0.0057335404        0.0000579195
        0.0041220892        0.0043012193       -0.0000522806
       -0.0002743707        0.0001733144        0.0004451698
       -0.0004917410        0.0006004348        0.0000902048
        0.0012512396        0.0011847993       -0.0003441249
       -0.0018134858       -0.0010134852       -0.0001525603
       -0.0001010596        0.0010140099        0.0000409597
        0.0031137995       -0.0029042400        0.0028820500
