   16   48
        0.5524445742        0.0352807043       -0.0179930900
       -0.0361337155        0.0142665836       -0.0079808895
       -0.1718172929        0.0498107268       -0.0276884776
       -0.0012408831        0.0055639528        0.0017071854
       -0.0023638144        0.0022789576       -0.0047494822
       -0.0000857576       -0.0002128108       -0.0002776298
        0.0003605901       -0.0016163589       -0.0001015451
        0.0012144872       -0.0020452165       -0.0000317241
        0.0016251078        0.0013154814       -0.0003033636
       -0.0587721368        0.0005404907        0.0008637563
        0.0015062280        0.0007995818       -0.0008431837
       -0.0596138208        0.0017247938       -0.0093722523
       -0.0040177649       -0.0028872651        0.0016498512
       -0.2261231697       -0.1028493752        0.0621794612
        0.0017517245       -0.0007432674        0.0012164282
        0.0012647572       -0.0012268849        0.0017255762
        0.0352807043        0.5988143367        0.0166593030
       -0.0142665838        0.0113195360       -0.0062667127
        0.0478182036       -0.1229834100        0.0165698156
        0.0333162222       -0.0252516778        0.0075172722
        0.0047697468       -0.0012661163        0.0052143484
       -0.0000904567        0.0012872194        0.0009676160
        0.0004641203        0.0014395458        0.0007391556
        0.0003294992       -0.0063629537       -0.0026748527
       -0.0008856307        0.0003372714       -0.0002295216
       -0.0036537898       -0.2732862997       -0.1008579662
        0.0003707641        0.0002304691       -0.0001828311
        0.0014502219       -0.0620689659        0.0245491966
       -0.0053208815       -0.0017402170        0.0008359935
       -0.0993555078       -0.1204368088        0.0370721731
        0.0005878375       -0.0003367330        0.0003506533
       -0.0008108883        0.0003031662       -0.0002645822
       -0.0179930900        0.0166593030        0.6168278272
        0.0079808896       -0.0062667127        0.0050762328
       -0.0179814874        0.0128957990       -0.0955553311
        0.0123017992       -0.0075046126        0.0073601257
       -0.0418440961        0.0232058260       -0.0254746539
        0.0003764106        0.0000344469       -0.0003045869
       -0.0001285023        0.0006271713       -0.0000010854
        0.0008688995       -0.0040654421       -0.0013384298
       -0.0007179589       -0.0001708021       -0.0001705257
       -0.0013099695       -0.0974734159       -0.1044868693
        0.0007120414       -0.0002942375       -0.0002584293
       -0.0046696500        0.0217250063       -0.3122681658
        0.0031270838        0.0010497774       -0.0006478625
        0.0603199507        0.0375219276       -0.0813337134
       -0.0006979191        0.0001539001        0.0013618236
       -0.0003457794        0.0019041895       -0.0087888754
       -0.0361337155       -0.0142665838        0.0079808896
        0.5524445741       -0.0352807042        0.0179930898
       -0.1718172929       -0.0498107268        0.0276884773
       -0.0012408833       -0.0055639528       -0.0017071853
       -0.0023638146       -0.0022789575        0.0047494823
       -0.0000857576        0.0002128108        0.0002776299
        0.0012144871        0.0020452167        0.0000317242
        0.0003605900        0.0016163588        0.0001015450
       -0.0587721369       -0.0005404908       -0.0008637562
        0.0016251076       -0.0013154815        0.0003033635
       -0.0596138208       -0.0017247938        0.0093722527
        0.0015062279       -0.0007995818        0.0008431835
       -0.2261231698        0.1028493752       -0.0621794611
       -0.0040177649        0.0028872652       -0.0016498513
        0.0012647573        0.0012268848       -0.0017255762
        0.0017517246        0.0007432673       -0.0012164282
        0.0142665836        0.0113195360       -0.0062667127
       -0.0352807042        0.5988143370        0.0166593027
       -0.0478182037       -0.1229834105        0.0165698149
       -0.0333162224       -0.0252516780        0.0075172719
       -0.0047697472       -0.0012661162        0.0052143487
        0.0000904567        0.0012872193        0.0009676162
       -0.0003294993       -0.0063629534       -0.0026748526
       -0.0004641204        0.0014395456        0.0007391555
        0.0036537897       -0.2732862997       -0.1008579661
        0.0008856306        0.0003372714       -0.0002295217
       -0.0014502220       -0.0620689660        0.0245491971
       -0.0003707641        0.0002304691       -0.0001828311
        0.0993555078       -0.1204368088        0.0370721732
        0.0053208815       -0.0017402170        0.0008359934
        0.0008108885        0.0003031664       -0.0002645821
       -0.0005878373       -0.0003367328        0.0003506535
       -0.0079808895       -0.0062667127        0.0050762328
        0.0179930898        0.0166593027        0.6168278276
        0.0179814874        0.0128957995       -0.0955553304
       -0.0123017987       -0.0075046124        0.0073601261
        0.0418440964        0.0232058258       -0.0254746542
       -0.0003764107        0.0000344470       -0.0003045871
       -0.0008688994       -0.0040654423       -0.0013384300
        0.0001285025        0.0006271714       -0.0000010852
        0.0013099697       -0.0974734159       -0.1044868696
        0.0007179591       -0.0001708021       -0.0001705255
        0.0046696500        0.0217250063       -0.3122681665
       -0.0007120415       -0.0002942375       -0.0002584291
       -0.0603199507        0.0375219276       -0.0813337136
       -0.0031270838        0.0010497775       -0.0006478623
        0.0003457792        0.0019041894       -0.0087888755
        0.0006979190        0.0001538999        0.0013618235
       -0.1718172929        0.0478182036       -0.0179814874
       -0.1718172929       -0.0478182037        0.0179814874
        0.6063925467        0.0000000000        0.0000000000
       -0.0946537742        0.0000000000        0.0000000000
       -0.1175277604        0.0000000000        0.0000000000
       -0.0016083362        0.0000000000        0.0000000000
       -0.0016166087       -0.0298744240       -0.0127431147
       -0.0016166087        0.0298744240        0.0127431147
        0.0005482215        0.0019217144       -0.0000874852
        0.0005482215       -0.0019217144        0.0000874852
        0.0027458864        0.0028372303       -0.0031855659
        0.0027458864       -0.0028372303        0.0031855659
       -0.0254498889       -0.0155864736        0.0085924787
       -0.0254498889        0.0155864736       -0.0085924787
       -0.0007112085       -0.0018393414        0.0384443672
       -0.0007112085        0.0018393414       -0.0384443672
        0.0498107268       -0.1229834100        0.0128957990
       -0.0498107268       -0.1229834105        0.0128957995
        0.0000000000        0.5707364240       -0.0119933049
        0.0000000004       -0.1861586725       -0.0312497875
        0.0000000005       -0.0823176628       -0.0270284285
        0.0000000000        0.0081236005        0.0062336531
        0.0009660550       -0.0166543379       -0.0078155478
       -0.0009660545       -0.0166543374       -0.0078155474
       -0.0287773067       -0.0183991280        0.0095337361
        0.0287773071       -0.0183991279        0.0095337365
        0.0004177468       -0.0014692143       -0.0015824349
       -0.0004177468       -0.0014692144       -0.0015824340
        0.0185490884        0.0088210603       -0.0054403459
       -0.0185490884        0.0088210603       -0.0054403454
       -0.0017357099       -0.0045064963        0.0244272055
