   12   36
        0.0136685208       -0.0000023203       -0.0000147702
       -0.0036348501       -0.0000000205       -0.0000001353
        0.0000037301       -0.0000000603       -0.0000000705
        0.0009405545       -0.0000000108       -0.0000000006
       -0.0042792954       -0.0000000006       -0.0000000006
       -0.0162443854       -0.0000026296       -0.0000163197
        0.0007285149        0.0000000449       -0.0000005303
        0.0065679546       -0.0000000045       -0.0000003251
        0.0020257045       -0.0000000205       -0.0000000057
        0.0001163249        0.0000000097       -0.0000000057
        0.0000541047        0.0000979747        0.0003085597
        0.0000540848       -0.0000979600       -0.0003086103
       -0.0000023203        0.1136208812        0.1426500143
       -0.0000000409        0.0078362245        0.0151426445
       -0.0000000250       -0.0045191501        0.0047041647
       -0.0000000108        0.0001752892       -0.0015723407
        0.0000000091        0.0011827439        0.0007211094
       -0.0000023255       -0.1146121451       -0.1352852757
       -0.0000001853        0.0002824993       -0.0261910554
       -0.0000000307       -0.0057760303       -0.0007478707
       -0.0000000449        0.0017235288        0.0002639644
        0.0000000097        0.0000629194        0.0005789843
       -0.0000059458        0.0000114443       -0.0001215653
        0.0000059396        0.0000114392       -0.0001215602
       -0.0000147702        0.1426500143        0.3346160213
       -0.0000000358       -0.0098758255       -0.0097640310
        0.0000000296        0.0035880896       -0.0022990707
       -0.0000000011        0.0000211395        0.0001076893
        0.0000000193       -0.0005481655        0.0003973292
       -0.0000143558       -0.1376287105       -0.3256628656
        0.0000001097        0.0037140296        0.0016406096
        0.0000000193       -0.0005638503        0.0012285199
       -0.0000000301       -0.0014273360       -0.0000738055
        0.0000000398        0.0000720195       -0.0004315808
        0.0000331192        0.0000111095        0.0001206894
       -0.0000330857        0.0000110992        0.0001206797
       -0.0036348501       -0.0000000409       -0.0000000358
        0.0386356407       -0.0000057605       -0.0000062158
       -0.0338902350       -0.0000039199       -0.0000019702
        0.0067214046       -0.0000000205       -0.0000000057
        0.0071041046       -0.0000000153        0.0000000091
       -0.0295950002       -0.0000020600       -0.0000040706
        0.0079863145       -0.0000006298       -0.0000001455
        0.0077124849       -0.0000006503       -0.0000000801
       -0.0013084201       -0.0000001006       -0.0000001558
        0.0001218643       -0.0000000205       -0.0000000006
        0.0000740647       -0.0000713754       -0.0006321358
        0.0000740494        0.0000713999        0.0006320897
       -0.0000000205        0.0078362245       -0.0098758255
       -0.0000057605        0.3262476503       -0.0149309756
       -0.0000032395       -0.1289507100       -0.0479259751
       -0.0000001302       -0.0032635955        0.0040824045
       -0.0000000398       -0.0042551750       -0.0028726151
       -0.0000015052       -0.0800579596        0.0524298451
       -0.0000002046       -0.0600177151       -0.0051689949
       -0.0000004502       -0.0621851746        0.0248918752
        0.0000001251        0.0040090345       -0.0018392456
       -0.0000000051        0.0011384094        0.0018406791
        0.0003573899       -0.0002495449       -0.0002940254
       -0.0003573552       -0.0002495449       -0.0002940396
       -0.0000001353        0.0151426445       -0.0097640310
       -0.0000062158       -0.0149309756        0.2934177212
       -0.0000020754       -0.0899147250       -0.0907186103
       -0.0000000711        0.0006305294       -0.0005339461
       -0.0000001108        0.0006309790        0.0012821891
       -0.0000039353        0.0923340599       -0.1564613501
       -0.0000006304        0.0353634994       -0.0134472208
       -0.0000002507       -0.0163623650       -0.0096507455
       -0.0000001052       -0.0237878010       -0.0121103511
       -0.0000000256        0.0011325642       -0.0042316310
       -0.0002104855       -0.0000989502        0.0011082142
        0.0002105298       -0.0000989502        0.0011082045
        0.0000037301       -0.0000000250        0.0000000296
       -0.0338902350       -0.0000032395       -0.0000020754
        0.1121795799       -0.0000150402       -0.0000165102
        0.0029871950        0.0000000995       -0.0000001398
        0.0024640849       -0.0000000102       -0.0000000250
        0.0100006747       -0.0000004894       -0.0000004752
        0.0044741904       -0.0000003695       -0.0000012801
       -0.0466863298       -0.0000110043       -0.0000051244
       -0.0580831596        0.0000001347       -0.0000088153
       -0.0017440101        0.0000000699       -0.0000002751
        0.0041492848        0.0003174648       -0.0257646303
        0.0041492802       -0.0003175546        0.0257645002
       -0.0000000603       -0.0045191501        0.0035880896
       -0.0000039199       -0.1289507100       -0.0899147250
       -0.0000150402        0.5758275404       -0.1377172998
       -0.0000004201       -0.0155874602        0.0170009946
       -0.0000000750       -0.0008824503       -0.0016328454
       -0.0000005099       -0.0227286995       -0.0083459247
       -0.0000004502        0.0189929898        0.0557109701
       -0.0000117006       -0.3405485950        0.1340902401
        0.0000005349       -0.0810585504        0.0203095794
       -0.0000001353        0.0025117998       -0.0321813002
       -0.0017135051       -0.0015286201        0.0195732099
        0.0017137597       -0.0015286304        0.0195732099
       -0.0000000705        0.0047041647       -0.0022990707
       -0.0000019702       -0.0479259751       -0.0907186103
       -0.0000165102       -0.1377172998        0.6801854204
       -0.0000001404       -0.0137939202        0.0083766747
       -0.0000000699       -0.0031844456       -0.0057493156
       -0.0000005201       -0.0050781347       -0.0459892652
       -0.0000004053        0.0128900052       -0.0468862856
       -0.0000048954        0.1730156254       -0.1941407703
       -0.0000107593        0.0128683445       -0.2595396205
       -0.0000002353        0.0029495243       -0.0153560006
        0.0015201249        0.0006634650       -0.0139419359
       -0.0015211549        0.0006634650       -0.0139419501
        0.0009405545       -0.0000000108       -0.0000000011
        0.0067214046       -0.0000001302       -0.0000000711
        0.0029871950       -0.0000004201       -0.0000001404
        0.0175713410       -0.0000148555       -0.0000016507
       -0.0015181155        0.0000000148       -0.0000000256
        0.0023777596       -0.0000001347       -0.0000000199
       -0.0007095400       -0.0000003052        0.0000001091
       -0.0243045702       -0.0000166148       -0.0000016405
       -0.0044330352       -0.0000000159       -0.0000000608
        0.0002477344        0.0000000142       -0.0000000159
        0.0000600494        0.0005242094       -0.0005137105
        0.0000600494       -0.0005242106        0.0005136798
       -0.0000000108        0.0001752892        0.0000211395
       -0.0000000205       -0.0032635955        0.0006305294
        0.0000000995       -0.0155874602       -0.0137939202
       -0.0000148555        0.3375826111        0.1278641543
        0.0000000244        0.0001499990       -0.0005267856
       -0.0000000205        0.0000744399        0.0011422549
        0.0000000551        0.0021033151        0.0041146393
       -0.0000140056       -0.3227715797       -0.1192358354
        0.0000000051        0.0008447444       -0.0011710557
        0.0000000193        0.0002869490        0.0009051689
       -0.0000580758        0.0002028742        0.0000331090
        0.0000580894        0.0002028696        0.0000331045
       -0.0000000006       -0.0015723407        0.0001076893
       -0.0000000057        0.0040824045       -0.0005339461
       -0.0000001398        0.0170009946        0.0083766747
       -0.0000016507        0.1278641543        0.1035927312
        0.0000000193        0.0008104342        0.0009707043
       -0.0000000102       -0.0010399901       -0.0065911155
       -0.0000002007       -0.0267269400       -0.0013269107
       -0.0000016752       -0.1200313403       -0.1060654051
       -0.0000000449        0.0002116639        0.0014840094
        0.0000000148       -0.0003999361       -0.0001375457
        0.0000219694       -0.0000930754        0.0000615194
       -0.0000219404       -0.0000930902        0.0000615194
       -0.0042792954        0.0000000091        0.0000000193
        0.0071041046       -0.0000000398       -0.0000001108
        0.0024640849       -0.0000000750       -0.0000000699
       -0.0015181155        0.0000000244        0.0000000193
        0.0176970707       -0.0000085555       -0.0000080553
        0.0029610948       -0.0000001597       -0.0000002598
       -0.0248685052       -0.0000095747       -0.0000087255
       -0.0004066305       -0.0000002046        0.0000000495
        0.0010040395        0.0000000148        0.0000000097
       -0.0000790203        0.0000000347        0.0000000040
       -0.0000389150        0.0000822598        0.0002272043
       -0.0000389207       -0.0000822251       -0.0002271946
       -0.0000000006        0.0011827439       -0.0005481655
       -0.0000000153       -0.0042551750        0.0006309790
       -0.0000000102       -0.0008824503       -0.0031844456
        0.0000000148        0.0001499990        0.0008104342
       -0.0000085555        0.2257890310       -0.1750100711
       -0.0000000756       -0.0126654402        0.0226328098
       -0.0000082349       -0.2192768704        0.1630961890
       -0.0000000455        0.0092774047       -0.0080237055
       -0.0000000051        0.0006354441       -0.0001714608
        0.0000000341        0.0000204994        0.0000779590
       -0.0000383909        0.0000126545       -0.0001253653
        0.0000384000        0.0000126693       -0.0001253699
       -0.0000000006        0.0007211094        0.0003973292
        0.0000000091       -0.0028726151        0.0012821891
       -0.0000000250       -0.0016328454       -0.0057493156
       -0.0000000256       -0.0005267856        0.0009707043
       -0.0000080553       -0.1750100711        0.2178988211
        0.0000000495       -0.0083402955        0.0077902342
       -0.0000075852        0.1633262747       -0.2139231208
       -0.0000000705        0.0230091149       -0.0080447256
       -0.0000000506        0.0012760540       -0.0000460511
        0.0000000045       -0.0000042257        0.0001310389
        0.0000114494        0.0000567542       -0.0003533955
       -0.0000114608        0.0000567542       -0.0003534154
       -0.0162443854       -0.0000023255       -0.0000143558
       -0.0295950002       -0.0000015052       -0.0000039353
        0.0100006747       -0.0000005099       -0.0000005201
