   17   51
        0.1790729875       -0.0000031013        0.0068983687
       -0.0353050575        0.0091308138        0.0091715600
       -0.0353050525       -0.0091282538        0.0091715550
       -0.0057924363        0.0104834525        0.0044384325
       -0.0057924313       -0.0104833913        0.0044384237
        0.0013955987       -0.0000000250        0.0003339850
        0.0006914800        0.0000106725        0.0003294875
        0.0006914900       -0.0000106375        0.0003294850
       -0.0022801838        0.0000967287       -0.0004926412
       -0.0022801900       -0.0000967513       -0.0004926500
       -0.0000633038       -0.0000000100        0.0000383463
        0.0002105487       -0.0000000087       -0.0001010988
        0.0001641887       -0.0012157250        0.0016359200
        0.0001641900        0.0012156762        0.0016359100
        0.0027927425        0.0041716225       -0.0022460088
        0.0027927350       -0.0041718838       -0.0022460025
       -0.1011573338       -0.0000061350       -0.0328489288
       -0.0000031013        0.1346648175        0.0000019387
        0.0078174275       -0.0467991313       -0.0167981463
       -0.0078150675       -0.0467991275        0.0167987487
        0.0016403675       -0.0006367637       -0.0004978838
       -0.0016406088       -0.0006367688        0.0004978287
       -0.0000000263       -0.0002563525       -0.0000000037
       -0.0001923650        0.0001055837        0.0001170337
        0.0001923750        0.0001055800       -0.0001170450
       -0.0001420625        0.0004082737       -0.0001438500
        0.0001420262        0.0004082762        0.0001438313
        0.0000000025       -0.0000438612       -0.0000000050
       -0.0000000050        0.0002084000       -0.0000000063
       -0.0021396325       -0.0028957338        0.0029910050
        0.0021395875       -0.0028957363       -0.0029911650
       -0.0046065763       -0.0077936888        0.0037810675
        0.0046061825       -0.0077936962       -0.0037813525
       -0.0000057538       -0.0193503638        0.0000002262
        0.0068983687        0.0000019387        0.0668434051
        0.0038154375       -0.0053354750       -0.0258528637
        0.0038154487        0.0053362475       -0.0258528613
       -0.0008458138        0.0019133925        0.0014843000
       -0.0008458213       -0.0019135000        0.0014842937
        0.0002545487       -0.0000000175       -0.0000415338
        0.0002716462        0.0002088525        0.0005259150
        0.0002716549       -0.0002088538        0.0005259162
       -0.0007553725        0.0000951687        0.0000587362
       -0.0007553763       -0.0000951688        0.0000587400
       -0.0001630938        0.0000000012        0.0001342188
        0.0000058387        0.0000000037       -0.0000049288
        0.0053902387        0.0094743462       -0.0038339000
        0.0053902412       -0.0094742563       -0.0038339038
       -0.0015345363       -0.0022388801        0.0014697100
       -0.0015345413        0.0022387012        0.0014697112
       -0.0196827300        0.0000000450       -0.0146347638
       -0.0353050575        0.0078174275        0.0038154375
        0.1424514125        0.0162899913       -0.0035180775
        0.0040159338       -0.0027567825       -0.0019072425
       -0.0499310963       -0.0018537812       -0.0104460263
        0.0003516937       -0.0001104325       -0.0001214888
       -0.0061491888       -0.0016700675       -0.0012348388
       -0.0004960688       -0.0000016200        0.0000568962
       -0.0000412850        0.0000314437       -0.0000123613
       -0.0025433975       -0.0002460588       -0.0012409325
       -0.0001761538        0.0002198087        0.0000243863
        0.0002083662        0.0003720025       -0.0001873987
        0.0000761000       -0.0004068725        0.0001362513
       -0.0001880475       -0.0004364988        0.0001826437
       -0.0161108600       -0.0008252825       -0.0028496800
       -0.0004215238       -0.0014835025        0.0004185587
       -0.0317906775       -0.0245545362        0.0119242187
       -0.0039502363        0.0096202987        0.0049522863
        0.0091308138       -0.0467991313       -0.0053354750
