   12   36
        0.1305528201       -0.0000208351       -0.0000236651
       -0.0530209803       -0.0000106101       -0.0000036002
       -0.0048832800        0.0000001501       -0.0000009501
        0.0005593597       -0.0000000898       -0.0000003550
       -0.0048832703        0.0000001600       -0.0000009501
       -0.0530209803       -0.0000106053       -0.0000036104
       -0.0397736801        0.0000003851       -0.0000132698
       -0.0004497298        0.0000002350       -0.0000004101
        0.0045835202       -0.0000000199       -0.0000001251
        0.0078847103       -0.0000000099        0.0000000549
        0.0078847296       -0.0000000301        0.0000000648
        0.0045835299       -0.0000000202       -0.0000001199
       -0.0000208351        0.7442831696        0.0000198304
       -0.0000104600       -0.3233565548       -0.0524359649
       -0.0000011397        0.0451473903       -0.0856153147
       -0.0000000901       -0.0944625194       -0.0000005898
       -0.0000011448        0.0451473900        0.0856200853
       -0.0000104498       -0.3233565550        0.0524753600
        0.0000008248       -0.0696942396       -0.0000143447
        0.0000000804        0.0053672503       -0.0000002549
       -0.0000001998       -0.0163625995       -0.0145242100
       -0.0000002595        0.0018278502        0.0020112401
       -0.0000002350        0.0018278399       -0.0020112446
       -0.0000001899       -0.0163625998        0.0145225553
       -0.0000236651        0.0000198304        0.7271116999
       -0.0000044651       -0.1379672946       -0.1662710451
        0.0000000398       -0.0277103399       -0.0253660150
       -0.0000003553       -0.0000005846       -0.0050269850
        0.0000000398        0.0277098749       -0.0253660099
       -0.0000044651        0.1380009201       -0.1662710554
       -0.0000155552       -0.0000147600       -0.3545666297
       -0.0000001197       -0.0000000946        0.0034041651
       -0.0000003899        0.0206612052        0.0104593099
       -0.0000000946        0.0012280353       -0.0042832249
       -0.0000000801       -0.0012281552       -0.0042832150
       -0.0000003752       -0.0206621749        0.0104593150
       -0.0530209803       -0.0000104600       -0.0000044651
        0.1023192999       -0.0000245697       -0.0000215852
       -0.0413189201        0.0000009302       -0.0000136998
       -0.0048832800       -0.0000011445        0.0000000449
        0.0051431999        0.0000001398       -0.0000001850
        0.0008921302       -0.0000001501       -0.0000005903
        0.0067328000        0.0000000952       -0.0000010249
        0.0072873405        0.0000000554        0.0000000401
       -0.0288767296       -0.0000120099       -0.0000037102
        0.0014538102        0.0000001202       -0.0000000949
       -0.0012701400        0.0000000401        0.0000000352
        0.0055582797        0.0000000301       -0.0000000250
       -0.0000106101       -0.3233565548       -0.1379672946
       -0.0000245697        0.7737593097       -0.0369967699
        0.0000009251       -0.1243808046        0.0340300750
        0.0000001501        0.0451473804        0.0277098550
        0.0000001251       -0.0221502250       -0.0324087497
       -0.0000001501       -0.0529619200        0.0256306652
       -0.0000001299        0.0049552551       -0.0006792948
        0.0000000054       -0.0084520445        0.0028855951
       -0.0000141048       -0.2938986697        0.1433192651
       -0.0000003695        0.0049262454       -0.0281691098
       -0.0000000003        0.0003399199       -0.0006470196
       -0.0000001549       -0.0039286746        0.0033352202
       -0.0000036002       -0.0524359649       -0.1662710451
       -0.0000215852       -0.0369967699        0.7501829600
       -0.0000137049       -0.0340624550       -0.3817724502
       -0.0000009351        0.0856200853       -0.0253660150
       -0.0000001850       -0.0324087401       -0.0497819650
       -0.0000005750       -0.0256314851        0.0629860648
       -0.0000008851       -0.0468658902       -0.0401499298
       -0.0000002396       -0.0047822101        0.0006806999
       -0.0000040598        0.1412944252       -0.1394773301
       -0.0000000497        0.0035997601       -0.0087715350
       -0.0000000202       -0.0013239253       -0.0009213650
       -0.0000000901        0.0040363000       -0.0013364999
       -0.0048832800       -0.0000011397        0.0000000398
       -0.0413189201        0.0000009251       -0.0000137049
        0.1023192999       -0.0000245748       -0.0000215852
       -0.0530209803       -0.0000104649       -0.0000044651
        0.0008921398       -0.0000001302       -0.0000005849
        0.0051431999        0.0000001299       -0.0000001901
        0.0072873297        0.0000000551        0.0000000500
        0.0067328301        0.0000000952       -0.0000010348
        0.0014538199        0.0000001202       -0.0000000898
       -0.0288767296       -0.0000120198       -0.0000037198
        0.0055582899        0.0000000250       -0.0000000298
       -0.0012701400        0.0000000549        0.0000000352
        0.0000001501        0.0451473903       -0.0277103399
        0.0000009302       -0.1243808046       -0.0340624550
       -0.0000245748        0.7737593097        0.0370434199
       -0.0000105999       -0.3233565596        0.1380009101
       -0.0000001450       -0.0529619149       -0.0256314746
        0.0000001251       -0.0221502350        0.0324088148
       -0.0000000202       -0.0084520400       -0.0028859196
       -0.0000001094        0.0049552452        0.0006782750
       -0.0000003396        0.0049262553        0.0281691203
       -0.0000141196       -0.2938986697       -0.1432812400
       -0.0000001501       -0.0039286849       -0.0033354047
       -0.0000000051        0.0003399350        0.0006470253
       -0.0000009501       -0.0856153147       -0.0253660150
       -0.0000136998        0.0340300750       -0.3817724502
       -0.0000215852        0.0370434199        0.7501829600
       -0.0000036053        0.0524753551       -0.1662710503
       -0.0000005801        0.0256306899        0.0629860801
       -0.0000001950        0.0324088401       -0.0497819855
       -0.0000002552        0.0047820902        0.0006807099
       -0.0000008646        0.0468659050       -0.0401499301
       -0.0000000298       -0.0036005346       -0.0087715401
       -0.0000040848       -0.1412544498       -0.1394773301
       -0.0000000901       -0.0040364603       -0.0013364948
       -0.0000000202        0.0013239000       -0.0009213647
        0.0005593597       -0.0000000901       -0.0000003553
       -0.0048832800        0.0000001501       -0.0000009351
       -0.0530209803       -0.0000105999       -0.0000036053
        0.1305528201       -0.0000208348       -0.0000236602
       -0.0530209803       -0.0000105902       -0.0000036002
       -0.0048832752        0.0000001501       -0.0000009553
       -0.0004497400        0.0000002447       -0.0000003999
       -0.0397736397        0.0000003800       -0.0000132653
        0.0078847199       -0.0000000199        0.0000000648
        0.0045834901       -0.0000000151       -0.0000001251
        0.0045835196       -0.0000000253       -0.0000001100
        0.0078847296       -0.0000000202        0.0000000600
       -0.0000000898       -0.0944625194       -0.0000005846
       -0.0000011445        0.0451473804        0.0856200853
       -0.0000104649       -0.3233565596        0.0524753551
       -0.0000208348        0.7442831793        0.0000198202
       -0.0000104697       -0.3233565448       -0.0524359646
       -0.0000011548        0.0451473804       -0.0856153250
        0.0000000603        0.0053672503       -0.0000002495
        0.0000008356       -0.0696942445       -0.0000143498
       -0.0000002495        0.0018278504       -0.0020112446
       -0.0000002245       -0.0163625944        0.0145225403
       -0.0000001899       -0.0163626098       -0.0145241998
       -0.0000002450        0.0018278504        0.0020112353
       -0.0000003550       -0.0000005898       -0.0050269850
        0.0000000449        0.0277098550       -0.0253660150
       -0.0000044651        0.1380009101       -0.1662710503
       -0.0000236602        0.0000198202        0.7271116999
       -0.0000044702       -0.1379672798       -0.1662710500
        0.0000000398       -0.0277103351       -0.0253660150
       -0.0000001401       -0.0000001000        0.0034041702
       -0.0000155399       -0.0000147600       -0.3545666348
       -0.0000000799       -0.0012281399       -0.0042832249
       -0.0000003897       -0.0206621797        0.0104593101
       -0.0000003553        0.0206611898        0.0104593249
       -0.0000000801        0.0012280250       -0.0042832198
       -0.0048832703       -0.0000011448        0.0000000398
        0.0051431999        0.0000001251       -0.0000001850
        0.0008921398       -0.0000001450       -0.0000005801
       -0.0530209803       -0.0000104697       -0.0000044702
        0.1023192999       -0.0000245601       -0.0000215701
       -0.0413189099        0.0000009300       -0.0000137052
        0.0072873200        0.0000000551        0.0000000449
        0.0067328301        0.0000001003       -0.0000010348
       -0.0012701599        0.0000000551        0.0000000350
        0.0055582700        0.0000000250       -0.0000000398
       -0.0288767103       -0.0000120349       -0.0000037147
        0.0014538296        0.0000001049       -0.0000000898
        0.0000001600        0.0451473900        0.0277098749
        0.0000001398       -0.0221502250       -0.0324087401
       -0.0000001302       -0.0529619149        0.0256306899
       -0.0000105902       -0.3233565448       -0.1379672798
       -0.0000245601        0.7737592802       -0.0369967600
        0.0000009450       -0.1243807802        0.0340300846
       -0.0000000003       -0.0084520252        0.0028856149
       -0.0000000850        0.0049552651       -0.0006792851
        0.0000000099        0.0003399450       -0.0006470103
       -0.0000001700       -0.0039286499        0.0033352197
       -0.0000140903       -0.2938986651        0.1433192799
       -0.0000003303        0.0049262599       -0.0281691050
       -0.0000009501        0.0856200853       -0.0253660099
       -0.0000001850       -0.0324087497       -0.0497819650
       -0.0000005849       -0.0256314746        0.0629860801
       -0.0000036002       -0.0524359646       -0.1662710500
       -0.0000215701       -0.0369967600        0.7501829498
       -0.0000136998       -0.0340624450       -0.3817724451
       -0.0000002652       -0.0047822002        0.0006807102
       -0.0000008646       -0.0468658996       -0.0401499250
       -0.0000000298       -0.0013239196       -0.0009213647
       -0.0000001148        0.0040363102       -0.0013364999
       -0.0000040453        0.1412944150       -0.1394773147
       -0.0000000102        0.0035997601       -0.0087715247
       -0.0530209803       -0.0000104498       -0.0000044651
        0.0008921302       -0.0000001501       -0.0000005750
        0.0051431999        0.0000001251       -0.0000001950
       -0.0048832752       -0.0000011548        0.0000000398
       -0.0413189099        0.0000009450       -0.0000136998
        0.1023192999       -0.0000245649       -0.0000215852
        0.0067328097        0.0000001000       -0.0000010198
        0.0072873303        0.0000000500        0.0000000398
        0.0055582802        0.0000000301       -0.0000000301
       -0.0012701648        0.0000000600        0.0000000250
        0.0014538296        0.0000001100       -0.0000000750
       -0.0288767151       -0.0000120249       -0.0000037099
       -0.0000106053       -0.3233565550        0.1380009201
       -0.0000001501       -0.0529619200       -0.0256314851
        0.0000001299       -0.0221502350        0.0324088401
        0.0000001501        0.0451473804       -0.0277103351
        0.0000009300       -0.1243807802       -0.0340624450
       -0.0000245649        0.7737593000        0.0370434199
       -0.0000001302        0.0049552600        0.0006782849
        0.0000000202       -0.0084520397       -0.0028859151
       -0.0000001648       -0.0039286647       -0.0033353999
       -0.0000000199        0.0003399302        0.0006470299
       -0.0000003303        0.0049262400        0.0281691149
       -0.0000140852       -0.2938986702       -0.1432812252
       -0.0000036104        0.0524753600       -0.1662710554
       -0.0000005903        0.0256306652        0.0629860648
       -0.0000001901        0.0324088148       -0.0497819855
       -0.0000009553       -0.0856153250       -0.0253660150
       -0.0000137052        0.0340300846       -0.3817724451
       -0.0000215852        0.0370434199        0.7501829703
       -0.0000008953        0.0468658948       -0.0401499301
       -0.0000002399        0.0047820851        0.0006806948
       -0.0000001000       -0.0040364500       -0.0013365101
       -0.0000000497        0.0013239051       -0.0009213653
       -0.0000000253       -0.0036005653       -0.0087715298
       -0.0000040555       -0.1412544651       -0.1394773352
       -0.0397736801        0.0000008248       -0.0000155552
        0.0067328000       -0.0000001299       -0.0000008851
        0.0072873297       -0.0000000202       -0.0000002552
       -0.0004497400        0.0000000603       -0.0000001401
        0.0072873200       -0.0000000003       -0.0000002652
        0.0067328097       -0.0000001302       -0.0000008953
        0.0218953403        0.0000004650       -0.0000156902
       -0.0009919597        0.0000000202       -0.0000001253
       -0.0044813902        0.0000000151       -0.0000000401
        0.0001214602        0.0000000099       -0.0000000352
        0.0001214795       -0.0000000205       -0.0000000253
       -0.0044813703        0.0000000099       -0.0000000401
        0.0000003851       -0.0696942396       -0.0000147600
        0.0000000952        0.0049552551       -0.0468658902
        0.0000000551       -0.0084520400        0.0047820902
        0.0000002447        0.0053672503       -0.0000001000
        0.0000000551       -0.0084520252       -0.0047822002
        0.0000001000        0.0049552600        0.0468658948
        0.0000004650        0.0652945499       -0.0000117001
        0.0000000503        0.0002255851       -0.0000000799
        0.0000000452        0.0027265452        0.0014612601
       -0.0000000145        0.0001733602       -0.0016368750
        0.0000000151        0.0001733500        0.0016368753
        0.0000000401        0.0027265452       -0.0014609148
       -0.0000132698       -0.0000143447       -0.3545666297
       -0.0000010249       -0.0006792948       -0.0401499298
        0.0000000500       -0.0028859196        0.0006807099
       -0.0000003999       -0.0000002495        0.0034041702
        0.0000000449        0.0028856149        0.0006807102
       -0.0000010198        0.0006782849       -0.0401499301
       -0.0000156902       -0.0000117001        0.4360841797
       -0.0000001046       -0.0000000747       -0.0065729051
       -0.0000001648        0.0003360401        0.0018572899
       -0.0000000347        0.0001709702       -0.0015622749
       -0.0000000051       -0.0001710151       -0.0015622749
       -0.0000001501       -0.0003361700        0.0018572854
       -0.0004497298        0.0000000804       -0.0000001197
        0.0072873405        0.0000000054       -0.0000002396
        0.0067328301       -0.0000001094       -0.0000008646
       -0.0397736397        0.0000008356       -0.0000155399
        0.0067328301       -0.0000000850       -0.0000008646
        0.0072873303        0.0000000202       -0.0000002399
       -0.0009919597        0.0000000503       -0.0000001046
        0.0218952994        0.0000004707       -0.0000156649
        0.0001214903        0.0000000253       -0.0000000097
       -0.0044813697        0.0000000256       -0.0000000298
       -0.0044813498        0.0000000202       -0.0000000196
        0.0001215000        0.0000000102       -0.0000000045
        0.0000002350        0.0053672503       -0.0000000946
        0.0000000554       -0.0084520445       -0.0047822101
        0.0000000952        0.0049552452        0.0468659050
        0.0000003800       -0.0696942445       -0.0000147600
        0.0000001003        0.0049552651       -0.0468658996
        0.0000000500       -0.0084520397        0.0047820851
        0.0000000202        0.0002255851       -0.0000000747
        0.0000004707        0.0652945596       -0.0000117100
        0.0000000006        0.0001733605        0.0016368651
        0.0000000304        0.0027265403       -0.0014609347
        0.0000000449        0.0027265150        0.0014612655
        0.0000000051        0.0001733503       -0.0016368796
       -0.0000004101       -0.0000002549        0.0034041651
        0.0000000401        0.0028855951        0.0006806999
       -0.0000010348        0.0006782750       -0.0401499301
       -0.0000132653       -0.0000143498       -0.3545666348
       -0.0000010348       -0.0006792851       -0.0401499250
        0.0000000398       -0.0028859151        0.0006806948
       -0.0000001253       -0.0000000799       -0.0065729051
       -0.0000156649       -0.0000117100        0.4360841899
       -0.0000000250       -0.0001709998       -0.0015622800
       -0.0000001847       -0.0003361649        0.0018572899
       -0.0000001504        0.0003360299        0.0018572899
       -0.0000000202        0.0001709699       -0.0015622749
        0.0045835202       -0.0000001998       -0.0000003899
       -0.0288767296       -0.0000141048       -0.0000040598
        0.0014538199       -0.0000003396       -0.0000000298
        0.0078847199       -0.0000002495       -0.0000000799
       -0.0012701599        0.0000000099       -0.0000000298
        0.0055582802       -0.0000001648       -0.0000001000
       -0.0044813902        0.0000000452       -0.0000001648
        0.0001214903        0.0000000006       -0.0000000250
        0.0196178996       -0.0000128148       -0.0000037898
       -0.0041704698        0.0000000054       -0.0000000097
       -0.0004181300        0.0000000000       -0.0000000045
       -0.0000020901        0.0000000003        0.0000000003
       -0.0000000199       -0.0163625995        0.0206612052
       -0.0000120099       -0.2938986697        0.1412944252
        0.0000001202        0.0049262553       -0.0036005346
       -0.0000000199        0.0018278504       -0.0012281399
        0.0000000551        0.0003399450       -0.0013239196
        0.0000000301       -0.0039286647       -0.0040364500
        0.0000000151        0.0027265452        0.0003360401
        0.0000000253        0.0001733605       -0.0001709998
       -0.0000128148        0.3044854196       -0.1530262500
       -0.0000000097        0.0007153454        0.0002559503
        0.0000000148       -0.0000027751        0.0000651303
        0.0000000099       -0.0010015097        0.0008120153
       -0.0000001251       -0.0145242100        0.0104593099
       -0.0000037102        0.1433192651       -0.1394773301
       -0.0000000898        0.0281691203       -0.0087715401
        0.0000000648       -0.0020112446       -0.0042832249
        0.0000000350       -0.0006470103       -0.0009213647
       -0.0000000301       -0.0033353999       -0.0013365101
       -0.0000000401        0.0014612601        0.0018572899
       -0.0000000097        0.0016368651       -0.0015622800
       -0.0000037898       -0.1530262500        0.1419688999
       -0.0000000296       -0.0002559000        0.0014750299
        0.0000000048        0.0000651249        0.0000396349
       -0.0000000051       -0.0008120148        0.0005518052
        0.0078847103       -0.0000002595       -0.0000000946
        0.0014538102       -0.0000003695       -0.0000000497
       -0.0288767296       -0.0000141196       -0.0000040848
        0.0045834901       -0.0000002245       -0.0000003897
        0.0055582700       -0.0000001700       -0.0000001148
       -0.0012701648       -0.0000000199       -0.0000000497
        0.0001214602       -0.0000000145       -0.0000000347
       -0.0044813697        0.0000000304       -0.0000001847
       -0.0041704698       -0.0000000097       -0.0000000296
        0.0196179394       -0.0000128247       -0.0000038096
       -0.0000020998       -0.0000000298       -0.0000000244
       -0.0004181499       -0.0000000097       -0.0000000196
       -0.0000000099        0.0018278502        0.0012280353
        0.0000001202        0.0049262454        0.0035997601
       -0.0000120198       -0.2938986697       -0.1412544498
       -0.0000000151       -0.0163625944       -0.0206621797
        0.0000000250       -0.0039286499        0.0040363102
        0.0000000600        0.0003399302        0.0013239051
        0.0000000099        0.0001733602        0.0001709702
        0.0000000256        0.0027265403       -0.0003361649
        0.0000000054        0.0007153454       -0.0002559000
       -0.0000128247        0.3044854196        0.1530650601
        0.0000000247       -0.0010015248       -0.0008120048
        0.0000000099       -0.0000027700       -0.0000651147
        0.0000000549        0.0020112401       -0.0042832249
       -0.0000000949       -0.0281691098       -0.0087715350
       -0.0000037198       -0.1432812400       -0.1394773301
       -0.0000001251        0.0145225403        0.0104593101
       -0.0000000398        0.0033352197       -0.0013364999
        0.0000000250        0.0006470299       -0.0009213653
       -0.0000000352       -0.0016368750       -0.0015622749
       -0.0000000298       -0.0014609347        0.0018572899
       -0.0000000097        0.0002559503        0.0014750299
       -0.0000038096        0.1530650601        0.1419688999
       -0.0000000051        0.0008119949        0.0005518052
        0.0000000048       -0.0000651198        0.0000396400
        0.0078847296       -0.0000002350       -0.0000000801
       -0.0012701400       -0.0000000003       -0.0000000202
        0.0055582899       -0.0000001501       -0.0000000901
        0.0045835196       -0.0000001899       -0.0000003553
       -0.0288767103       -0.0000140903       -0.0000040453
        0.0014538296       -0.0000003303       -0.0000000253
        0.0001214795        0.0000000151       -0.0000000051
       -0.0044813498        0.0000000449       -0.0000001504
       -0.0004181300        0.0000000148        0.0000000048
       -0.0000020998        0.0000000247       -0.0000000051
        0.0196178803       -0.0000128054       -0.0000037650
       -0.0041704305        0.0000000148        0.0000000099
       -0.0000000301        0.0018278399       -0.0012281552
        0.0000000401        0.0003399199       -0.0013239253
        0.0000000250       -0.0039286849       -0.0040364603
       -0.0000000253       -0.0163626098        0.0206611898
       -0.0000120349       -0.2938986651        0.1412944150
        0.0000001100        0.0049262400       -0.0036005653
       -0.0000000205        0.0001733500       -0.0001710151
        0.0000000202        0.0027265150        0.0003360299
        0.0000000000       -0.0000027751        0.0000651249
       -0.0000000298       -0.0010015248        0.0008119949
       -0.0000128054        0.3044854401       -0.1530262651
       -0.0000000054        0.0007153400        0.0002559452
        0.0000000648       -0.0020112446       -0.0042832150
        0.0000000352       -0.0006470196       -0.0009213650
       -0.0000000298       -0.0033354047       -0.0013364948
       -0.0000001100       -0.0145241998        0.0104593249
       -0.0000037147        0.1433192799       -0.1394773147
       -0.0000000750        0.0281691149       -0.0087715298
       -0.0000000253        0.0016368753       -0.0015622749
       -0.0000000196        0.0014612655        0.0018572899
       -0.0000000045        0.0000651303        0.0000396349
       -0.0000000244       -0.0008120048        0.0005518052
       -0.0000037650       -0.1530262651        0.1419688897
        0.0000000000       -0.0002558949        0.0014750401
        0.0045835299       -0.0000001899       -0.0000003752
        0.0055582797       -0.0000001549       -0.0000000901
       -0.0012701400       -0.0000000051       -0.0000000202
        0.0078847296       -0.0000002450       -0.0000000801
        0.0014538296       -0.0000003303       -0.0000000102
       -0.0288767151       -0.0000140852       -0.0000040555
       -0.0044813703        0.0000000401       -0.0000001501
        0.0001215000        0.0000000051       -0.0000000202
       -0.0000020901        0.0000000099       -0.0000000051
       -0.0004181499        0.0000000099        0.0000000048
       -0.0041704305       -0.0000000054        0.0000000000
        0.0196178803       -0.0000128051       -0.0000037750
       -0.0000000202       -0.0163625998       -0.0206621749
        0.0000000301       -0.0039286746        0.0040363000
        0.0000000549        0.0003399350        0.0013239000
       -0.0000000202        0.0018278504        0.0012280250
        0.0000001049        0.0049262599        0.0035997601
       -0.0000120249       -0.2938986702       -0.1412544651
        0.0000000099        0.0027265452       -0.0003361700
        0.0000000102        0.0001733503        0.0001709699
        0.0000000003       -0.0010015097       -0.0008120148
       -0.0000000097       -0.0000027700       -0.0000651198
        0.0000000148        0.0007153400       -0.0002558949
       -0.0000128051        0.3044854299        0.1530650701
       -0.0000001199        0.0145225553        0.0104593150
       -0.0000000250        0.0033352202       -0.0013364999
        0.0000000352        0.0006470253       -0.0009213647
        0.0000000600        0.0020112353       -0.0042832198
       -0.0000000898       -0.0281691050       -0.0087715247
       -0.0000037099       -0.1432812252       -0.1394773352
       -0.0000000401       -0.0014609148        0.0018572854
       -0.0000000045       -0.0016368796       -0.0015622749
        0.0000000003        0.0008120153        0.0005518052
       -0.0000000196       -0.0000651147        0.0000396400
        0.0000000099        0.0002559452        0.0014750401
       -0.0000037750        0.1530650701        0.1419688897
