   12   36
        0.1423481604       -0.0000196050       -0.0000216249
       -0.0601196351       -0.0000101153       -0.0000030752
       -0.0016461703        0.0000002899       -0.0000006099
       -0.0021706703       -0.0000001455       -0.0000003450
       -0.0016463952        0.0000002947       -0.0000005602
       -0.0601194651       -0.0000101750       -0.0000031605
       -0.0398750700        0.0000006347       -0.0000125854
       -0.0005886304        0.0000002947       -0.0000002001
        0.0042186750       -0.0000001103        0.0000001398
        0.0077028452        0.0000000446        0.0000000600
        0.0077028849       -0.0000000603       -0.0000000352
        0.0042186997       -0.0000001251        0.0000000799
       -0.0000196050        0.7214818703        0.0000163251
       -0.0000100502       -0.3093124351       -0.0588831753
       -0.0000006403        0.0287874249       -0.0597215049
       -0.0000001702       -0.0606408054       -0.0000003203
       -0.0000006301        0.0287875000        0.0597108149
       -0.0000100749       -0.3093125051        0.0589033098
        0.0000008200       -0.0743381054       -0.0000145405
       -0.0000000054        0.0036951900       -0.0000000250
       -0.0000002001       -0.0164635051       -0.0138522950
       -0.0000001398        0.0018789245        0.0016695901
       -0.0000001651        0.0018789046       -0.0016698252
       -0.0000001299       -0.0164635003        0.0138506198
       -0.0000216249        0.0000163251        0.6802282996
       -0.0000040049       -0.1173064598       -0.1541813151
       -0.0000004349       -0.0268782148       -0.0258100795
       -0.0000003348       -0.0000002100       -0.0043798599
       -0.0000004547        0.0268773451       -0.0258101596
       -0.0000040046        0.1173368599       -0.1541813751
       -0.0000148049       -0.0000140400       -0.3317295852
       -0.0000001251       -0.0000001197        0.0032568255
       -0.0000003649        0.0192866352        0.0103690152
       -0.0000001447        0.0012318702       -0.0040656948
       -0.0000001597       -0.0012320200       -0.0040658048
       -0.0000003047       -0.0192874697        0.0103690252
       -0.0601196351       -0.0000100502       -0.0000040049
        0.1202512203       -0.0000235050       -0.0000200504
       -0.0502082653        0.0000005548       -0.0000129100
       -0.0016466151       -0.0000004954       -0.0000004150
        0.0023673400        0.0000000998       -0.0000000350
        0.0043172099       -0.0000000603       -0.0000003303
        0.0056157950        0.0000000847       -0.0000009453
