    7   21
        0.2119792552       -0.0000083563       -0.0000083665
       -0.0240959700       -0.0000025976        0.0000000225
       -0.0240959662        0.0000000126       -0.0000025915
       -0.0577977150       -0.0000022202       -0.0000022175
       -0.0577977188       -0.0000022114       -0.0000022214
       -0.0240959564        0.0000000374       -0.0000025838
       -0.0240959663       -0.0000025889        0.0000000011
       -0.0000083563        0.2119792325       -0.0000083462
       -0.0000021899       -0.0577977112       -0.0000022025
        0.0000000452       -0.0240959535       -0.0000025788
       -0.0000025837       -0.0240959663        0.0000000327
       -0.0000025787       -0.0240959500        0.0000000263
        0.0000000325       -0.0240959514       -0.0000025774
       -0.0000021988       -0.0577977050       -0.0000022226
       -0.0000083665       -0.0000083462        0.2119792376
        0.0000000301       -0.0000025864       -0.0240959676
       -0.0000022050       -0.0000022212       -0.0577977052
       -0.0000025901        0.0000000274       -0.0240959724
       -0.0000025913        0.0000000375       -0.0240959577
       -0.0000022150       -0.0000022176       -0.0577977100
        0.0000000225       -0.0000025877       -0.0240959812
       -0.0240959700       -0.0000021899        0.0000000301
        0.0310927774       -0.0000012062       -0.0000004611
        0.0031188726       -0.0000001548       -0.0000001063
       -0.0075146325        0.0132864963       -0.0000001599
       -0.0075146288       -0.0132854362       -0.0000001475
        0.0031188613       -0.0000001512       -0.0000001062
        0.0017946512       -0.0000000126       -0.0000000212
       -0.0000025976       -0.0577977112       -0.0000025864
       -0.0000012062        0.0889565575       -0.0000012149
       -0.0000001187       -0.0075146461        0.0064669224
        0.0064669312       -0.0075146426       -0.0000001137
       -0.0064663450       -0.0075146338       -0.0000001074
       -0.0000001238       -0.0075146325       -0.0064663412
       -0.0000000125       -0.0011003314       -0.0000000338
        0.0000000225       -0.0000022025       -0.0240959676
       -0.0000004611       -0.0000012149        0.0310927925
       -0.0000001549        0.0132864851       -0.0075146301
       -0.0000001062       -0.0000001525        0.0031188713
       -0.0000001262       -0.0000001538        0.0031188824
       -0.0000001576       -0.0132854413       -0.0075146437
       -0.0000000013       -0.0000000200        0.0017946350
       -0.0240959662        0.0000000452       -0.0000022050
        0.0031188726       -0.0000001187       -0.0000001549
        0.0310927749       -0.0000004623       -0.0000011975
       -0.0075146350       -0.0000001575        0.0132864876
       -0.0075146312       -0.0000001462       -0.0132854373
        0.0017946626       -0.0000000063       -0.0000000162
        0.0031188688       -0.0000001026       -0.0000001688
        0.0000000126       -0.0240959535       -0.0000022212
       -0.0000001548       -0.0075146461        0.0132864851
       -0.0000004623        0.0310927948       -0.0000012137
       -0.0000001236        0.0031188601       -0.0000001586
       -0.0000001174        0.0031188715       -0.0000001599
       -0.0000000250        0.0017946550       -0.0000000298
       -0.0000001474       -0.0075146451       -0.0132854611
       -0.0000025915       -0.0000025788       -0.0577977052
       -0.0000001063        0.0064669224       -0.0075146301
       -0.0000011975       -0.0000012137        0.0889565527
        0.0064669375       -0.0000001215       -0.0075146387
       -0.0064663500       -0.0000001089       -0.0075146326
       -0.0000000115       -0.0000000114       -0.0011003388
       -0.0000001063       -0.0064663465       -0.0075146563
       -0.0577977150       -0.0000025837       -0.0000025901
       -0.0075146325        0.0064669312       -0.0000001062
       -0.0075146350       -0.0000001236        0.0064669375
        0.0889565575       -0.0000012088       -0.0000012200
       -0.0011003425       -0.0000000199       -0.0000000136
       -0.0075146352       -0.0000001151       -0.0064663487
       -0.0075146426       -0.0064663526       -0.0000001162
       -0.0000022202       -0.0240959663        0.0000000274
        0.0132864963       -0.0075146426       -0.0000001525
       -0.0000001575        0.0031188601       -0.0000001215
       -0.0000012088        0.0310927976       -0.0000004712
