    3    9
       -0.0040036775       -0.0000013858       -0.0000023863
        0.0039556198       -0.0000016166       -0.0000021862
        0.0000480895       -0.0000000705       -0.0000000921
       -0.0000013858        0.0797896200        0.0873146996
       -0.0000015700       -0.0940860809       -0.0871652753
       -0.0000000705        0.0142964564       -0.0001332910
       -0.0000023863        0.0873146996        0.1282667017
       -0.0000020646       -0.0874318766       -0.1052935863
       -0.0000000898        0.0001326850       -0.0229730858
        0.0039556198       -0.0000015700       -0.0000020646
       -0.0079112397       -0.0000037107       -0.0000041655
        0.0039556244       -0.0000015700       -0.0000020452
       -0.0000016166       -0.0940860809       -0.0874318766
       -0.0000037107        0.1881721323        0.0000158639
       -0.0000015962       -0.0940860753        0.0874475541
       -0.0000021862       -0.0871652753       -0.1052935863
       -0.0000041655        0.0000158639        0.2105872022
       -0.0000021805        0.0871813643       -0.1052935920
        0.0000480895       -0.0000000705       -0.0000000898
        0.0039556244       -0.0000015962       -0.0000021805
       -0.0040037094       -0.0000013495       -0.0000023556
       -0.0000000705        0.0142964564        0.0001326850
       -0.0000015700       -0.0940860753        0.0871813643
       -0.0000013495        0.0797895996       -0.0872984106
       -0.0000000921       -0.0001332910       -0.0229730858
       -0.0000020452        0.0874475541       -0.1052935920
       -0.0000023556       -0.0872984106        0.1282666722
