    6   18
        0.3256830814        0.0000081741       -0.0000093473
       -0.0256713611        0.0000000409       -0.0000025989
       -0.0568275914        0.0599702048       -0.0000007731
       -0.0256713793        0.0000000000       -0.0000023851
       -0.0568276050       -0.0599587906       -0.0000007594
       -0.1606851833       -0.0000035220       -0.0000036403
        0.0000081741        0.3256831815       -0.0000093928
       -0.0000000205       -0.0256713884       -0.0000025602
        0.0599702344       -0.1260640147       -0.0000026921
       -0.0000000250       -0.0256713861       -0.0000025011
       -0.0599587884       -0.1260640101       -0.0000027057
       -0.0000036243       -0.0222125163        0.0000001251
       -0.0000093473       -0.0000093928        0.2390845430
       -0.0000020714       -0.0000020191       -0.0895997778
       -0.0000009527       -0.0000033560       -0.0199617034
       -0.0000020304       -0.0000020759       -0.0895996959
       -0.0000009686       -0.0000033447       -0.0199617034
       -0.0000044997        0.0000002410       -0.0199616898
       -0.0256713611       -0.0000000205       -0.0000020714
        0.0399683904       -0.0000000114       -0.0000017099
        0.0007125163        0.0108356107       -0.0142967315
        0.0023332404       -0.0000000023       -0.0000000136
        0.0007125527       -0.0108355835       -0.0142967065
       -0.0180553275       -0.0000001728        0.0285947567
        0.0000000409       -0.0256713884       -0.0000020191
       -0.0000000114        0.0399683267       -0.0000011892
        0.0108355948       -0.0117993477        0.0247635148
        0.0000000341        0.0023332859        0.0000000159
       -0.0108355584       -0.0117993363       -0.0247624894
       -0.0000001114        0.0069684711       -0.0000001614
       -0.0000025989       -0.0000025602       -0.0895997778
       -0.0000017099       -0.0000011892        0.1544059887
       -0.0091720949        0.0158869602       -0.0207482617
       -0.0000000227       -0.0000000591       -0.0025614486
       -0.0091720904       -0.0158864827       -0.0207482799
        0.0183449993       -0.0000002251       -0.0207482367
       -0.0568275914        0.0599702344       -0.0000009527
        0.0007125163        0.0108355948       -0.0091720949
        0.0552592110       -0.0848160084       -0.0000006776
        0.0007125504        0.0108356244        0.0091720744
        0.0028309978       -0.0022999279       -0.0000000364
       -0.0026876637        0.0054863040       -0.0000000227
        0.0599702048       -0.1260640147       -0.0000033560
        0.0108356107       -0.0117993477        0.0158869602
       -0.0848160084        0.1531985390       -0.0000017667
        0.0108356721       -0.0117993864       -0.0158863645
        0.0022998097       -0.0045273418       -0.0000000614
        0.0008864163        0.0009914584        0.0000000068
       -0.0000007731       -0.0000026921       -0.0199617034
       -0.0142967315        0.0247635148       -0.0207482617
       -0.0000006776       -0.0000017667        0.0577012634
        0.0142967588       -0.0247625121       -0.0207482663
       -0.0000000136       -0.0000000296        0.0018784431
        0.0000000250        0.0000000114        0.0018784704
       -0.0256713793       -0.0000000250       -0.0000020304
        0.0023332404        0.0000000341       -0.0000000227
        0.0007125504        0.0108356721        0.0142967588
        0.0399683677       -0.0000000091       -0.0000005980
        0.0007125414       -0.0108355675        0.0142967406
       -0.0180553366       -0.0000001501       -0.0285932788
        0.0000000000       -0.0256713861       -0.0000020759
       -0.0000000023        0.0023332859       -0.0000000591
        0.0108356244       -0.0117993864       -0.0247625121
       -0.0000000091        0.0399683813       -0.0000011300
       -0.0108355925       -0.0117993727        0.0247634557
       -0.0000001478        0.0069684575       -0.0000001887
       -0.0000023851       -0.0000025011       -0.0895996959
       -0.0000000136        0.0000000159       -0.0025614486
        0.0091720744       -0.0158863645       -0.0207482663
       -0.0000005980       -0.0000011300        0.1544058887
        0.0091720790        0.0158870239       -0.0207482299
       -0.0183440625       -0.0000001455       -0.0207482162
       -0.0568276050       -0.0599587884       -0.0000009686
        0.0007125527       -0.0108355584       -0.0091720904
        0.0028309978        0.0022998097       -0.0000000136
        0.0007125414       -0.0108355925        0.0091720790
        0.0552592019        0.0848278660       -0.0000006867
       -0.0026876751       -0.0054860675       -0.0000000136
       -0.0599587906       -0.1260640101       -0.0000033447
       -0.0108355835       -0.0117993363       -0.0158864827
       -0.0022999279       -0.0045273418       -0.0000000296
       -0.0108355675       -0.0117993727        0.0158870239
        0.0848278660        0.1531985163       -0.0000017440
       -0.0008862412        0.0009914970        0.0000000250
       -0.0000007594       -0.0000027057       -0.0199617034
       -0.0142967065       -0.0247624894       -0.0207482799
       -0.0000000364       -0.0000000614        0.0018784431
        0.0142967406        0.0247634557       -0.0207482299
       -0.0000006867       -0.0000017440        0.0577012815
        0.0000000114       -0.0000000318        0.0018784476
       -0.1606851833       -0.0000036243       -0.0000044997
       -0.0180553275       -0.0000001114        0.0183449993
       -0.0026876637        0.0008864163        0.0000000250
       -0.0180553366       -0.0000001478       -0.0183440625
       -0.0026876751       -0.0008862412        0.0000000114
        0.2021712362       -0.0000034947       -0.0000021873
       -0.0000035220       -0.0222125163        0.0000002410
       -0.0000001728        0.0069684711       -0.0000002251
        0.0054863040        0.0009914584        0.0000000114
       -0.0000001501        0.0069684575       -0.0000001455
       -0.0054860675        0.0009914970       -0.0000000318
       -0.0000034947        0.0062927029       -0.0000001796
       -0.0000036403        0.0000001251       -0.0199616898
        0.0285947567       -0.0000001614       -0.0207482367
       -0.0000000227        0.0000000068        0.0018784704
       -0.0285932788       -0.0000001887       -0.0207482162
       -0.0000000136        0.0000000250        0.0018784476
       -0.0000021873       -0.0000001796        0.0577012361
