    5   15
        0.2871917781        0.0000173046       -0.0000117842
       -0.1333352139        0.0598501234       -0.0000056653
       -0.1333352114       -0.0598330405       -0.0000056758
       -0.0102607825       -0.0000003493       -0.0000004479
       -0.0102607754       -0.0000003564       -0.0000004491
        0.0000173046        0.1547706933       -0.0000008544
        0.0526877795       -0.0578855256       -0.0000015390
       -0.0526710491       -0.0578855355       -0.0000015331
       -0.0000003479       -0.0194998594       -0.0117981330
       -0.0000003394       -0.0194998717        0.0118013747
       -0.0000117842       -0.0000008544        0.0981690783
       -0.0000056005       -0.0000016931       -0.0259106403
       -0.0000055965       -0.0000016968       -0.0259106469
       -0.0000004590       -0.0091821457       -0.0231738392
       -0.0000004593        0.0091852820       -0.0231738392
       -0.1333352139        0.0526877795       -0.0000056005
        0.1396283881       -0.0627426866       -0.0000055928
       -0.0064726990        0.0063631370       -0.0000001219
        0.0000896497        0.0018542283        0.0007963209
        0.0000896532        0.0018542298       -0.0007963104
        0.0598501234       -0.0578855256       -0.0000016931
       -0.0627426866        0.0571426733       -0.0000011667
       -0.0063636190        0.0052444582       -0.0000000196
        0.0046368083       -0.0022507945       -0.0024271606
        0.0046368231       -0.0022508041        0.0024272731
       -0.0000056653       -0.0000015390       -0.0259106403
       -0.0000055928       -0.0000011667        0.0206915780
       -0.0000001077       -0.0000000190        0.0056546719
        0.0040123035       -0.0049401655       -0.0002177703
       -0.0040123268        0.0049403047       -0.0002177714
       -0.1333352114       -0.0526710491       -0.0000055965
       -0.0064726990       -0.0063636190       -0.0000001077
        0.1396283778        0.0627593184       -0.0000055815
        0.0000896560       -0.0018541417       -0.0007962979
        0.0000896557       -0.0018541664        0.0007963209
       -0.0598330405       -0.0578855355       -0.0000016968
        0.0063631370        0.0052444582       -0.0000000190
        0.0627593184        0.0571426733       -0.0000011670
       -0.0046367754       -0.0022508007       -0.0024271753
       -0.0046367606       -0.0022508078        0.0024272535
       -0.0000056758       -0.0000015331       -0.0259106469
       -0.0000001219       -0.0000000196        0.0056546719
       -0.0000055815       -0.0000011670        0.0206915911
       -0.0040123305       -0.0049401720       -0.0002177782
        0.0040123115        0.0049403030       -0.0002177805
       -0.0102607825       -0.0000003479       -0.0000004590
        0.0000896497        0.0046368083        0.0040123035
        0.0000896560       -0.0046367754       -0.0040123305
        0.0087435728       -0.0000001779       -0.0000004127
        0.0013378082       -0.0000000091       -0.0000000514
       -0.0000003493       -0.0194998594       -0.0091821457
        0.0018542283       -0.0022507945       -0.0049401655
       -0.0018541417       -0.0022508007       -0.0049401720
       -0.0000001779        0.0225930160        0.0178611381
        0.0000000094        0.0014083435        0.0012050256
       -0.0000004479       -0.0117981330       -0.0231738392
        0.0007963209       -0.0024271606       -0.0002177703
       -0.0007962979       -0.0024271753       -0.0002177782
       -0.0000004127        0.0178611381        0.0304525656
       -0.0000000531       -0.0012051791       -0.0068430901
       -0.0102607754       -0.0000003394       -0.0000004593
        0.0000896532        0.0046368231       -0.0040123268
        0.0000896557       -0.0046367606        0.0040123115
        0.0013378082        0.0000000094       -0.0000000531
        0.0087435535       -0.0000001705       -0.0000004056
       -0.0000003564       -0.0194998717        0.0091852820
        0.0018542298       -0.0022508041        0.0049403047
       -0.0018541664       -0.0022508078        0.0049403030
       -0.0000000091        0.0014083435       -0.0012051791
       -0.0000001705        0.0225930330       -0.0178574354
       -0.0000004491        0.0118013747       -0.0231738392
       -0.0007963104        0.0024272731       -0.0002177714
        0.0007963209        0.0024272535       -0.0002177805
       -0.0000000514        0.0012050256       -0.0068430901
       -0.0000004056       -0.0178574354        0.0304525781
