    4   12
        0.1078156401       -0.0526184658       -0.0412494546
       -0.0824138442       -0.0024875487        0.0619470109
       -0.0371155556        0.0444711702       -0.0315669593
        0.0117137449        0.0106333903        0.0108867152
       -0.0526184658        0.0950831304       -0.0312961151
        0.0024848953       -0.0180050438       -0.0035911091
        0.0421244238       -0.0721799699        0.0465985897
        0.0080082100       -0.0048981292       -0.0117071545
       -0.0412494546       -0.0312961151        0.1556898292
        0.0619472200        0.0035855112       -0.0944824637
       -0.0240664201        0.0413925363       -0.0391946242
        0.0033862307       -0.0136773451       -0.0220131335
       -0.0824138442        0.0024848953        0.0619472200
        0.1078153696        0.0526180258       -0.0412494092
        0.0117137995       -0.0106337245        0.0108867903
       -0.0371153237       -0.0444700242       -0.0315668490
       -0.0024875487       -0.0180050438        0.0035855112
        0.0526180258        0.0950830781        0.0313008968
       -0.0080083896       -0.0048982088        0.0117073216
       -0.0421227185       -0.0721798597       -0.0465893186
        0.0619470109       -0.0035911091       -0.0944824637
       -0.0412494092        0.0313008968        0.1556899383
        0.0033861352        0.0136770916       -0.0220132290
       -0.0240663735       -0.0413824296       -0.0391946787
       -0.0371155556        0.0421244238       -0.0240664201
        0.0117137995       -0.0080083896        0.0033861352
        0.0275585103       -0.0339755195        0.0234596052
       -0.0021566586       -0.0001393096       -0.0027794545
        0.0444711702       -0.0721799699        0.0413925363
       -0.0106337245       -0.0048982088        0.0136770916
       -0.0339755195        0.0712428891       -0.0566778647
        0.0001390811        0.0058352714        0.0016184401
       -0.0315669593        0.0465985897       -0.0391946242
        0.0108867903        0.0117073216       -0.0220132290
        0.0234596052       -0.0566778647        0.0620588389
       -0.0027793180       -0.0016186345       -0.0008514189
        0.0117137449        0.0080082100        0.0033862307
       -0.0371153237       -0.0421227185       -0.0240663735
       -0.0021566586        0.0001390811       -0.0027793180
        0.0275583488        0.0339769463        0.0234597758
        0.0106333903       -0.0048981292       -0.0136773451
       -0.0444700242       -0.0721798597       -0.0413824296
       -0.0001393096        0.0058352714       -0.0016186345
        0.0339769463        0.0712427891        0.0566875201
        0.0108867152       -0.0117071545       -0.0220131335
       -0.0315668490       -0.0465893186       -0.0391946787
       -0.0027794545        0.0016184401       -0.0008514189
        0.0234597758        0.0566875201        0.0620588594
