    5   15
        0.5934903788        0.0000182604        0.0000307313
       -0.0392198996        0.0000001251       -0.0000050596
       -0.1309820550        0.0931599408        0.0498228110
       -0.1309820641       -0.0931310996        0.0498228007
       -0.2923068598       -0.0000134497       -0.0996651642
        0.0000182604        0.5934903197        0.0000045407
        0.0000001450       -0.0392198808       -0.0000056644
        0.0931607150       -0.2385255448       -0.0863057249
       -0.0931308296       -0.2385255345        0.0863139849
       -0.0000144252       -0.0772198302       -0.0000009248
        0.0000307313        0.0000045407        0.4792723189
       -0.0000048846       -0.0000049249       -0.1341816994
        0.0400183552       -0.0693258994       -0.1150298243
        0.0400183711        0.0693322806       -0.1150298294
       -0.0800588293       -0.0000011249       -0.1150298044
       -0.0392198996        0.0000001450       -0.0000048846
        0.0375873594        0.0000000296       -0.0000037096
        0.0051658998        0.0080052007        0.0185348756
        0.0051659003       -0.0080051751        0.0185348802
       -0.0086996198       -0.0000001501       -0.0370697796
        0.0000001251       -0.0392198808       -0.0000049249
        0.0000000296        0.0375873606       -0.0000040654
        0.0080051495       -0.0040777655       -0.0321034850
       -0.0080051603       -0.0040777701        0.0321042700
       -0.0000000801        0.0097876796       -0.0000004655
       -0.0000050596       -0.0000056644       -0.1341816994
       -0.0000037096       -0.0000040654        0.2514130392
        0.0109379005       -0.0189457893       -0.0390767241
        0.0109378959        0.0189458558       -0.0390767246
       -0.0218767843       -0.0000004047       -0.0390767048
       -0.1309820550        0.0931607150        0.0400183552
        0.0051658998        0.0080051495        0.0109379005
        0.1659425300       -0.1444962146       -0.0584947145
        0.0174873298       -0.0106604250       -0.0023248151
       -0.0576140201        0.0540216644        0.0098609451
        0.0931599408       -0.2385255448       -0.0693258994
        0.0080052007       -0.0040777655       -0.0189457893
       -0.1444962146        0.3327979493        0.1013352755
        0.0106571508       -0.0826492396       -0.0100471544
        0.0327026152       -0.0075457547       -0.0030094498
        0.0498228110       -0.0863057249       -0.1150298243
        0.0185348756       -0.0321034850       -0.0390767241
       -0.0584947145        0.1013352755        0.1176485091
       -0.0023248094        0.0100442054        0.0182293604
       -0.0075384094        0.0070357953        0.0182293752
       -0.1309820641       -0.0931308296        0.0400183711
        0.0051659003       -0.0080051603        0.0109378959
        0.0174873298        0.0106571508       -0.0023248094
        0.1659425391        0.1445281407       -0.0584947293
       -0.0576140195       -0.0540182094        0.0098609308
       -0.0931310996       -0.2385255345        0.0693322806
       -0.0080051751       -0.0040777701        0.0189458558
       -0.0106604250       -0.0826492396        0.0100442054
        0.1445281407        0.3327979493       -0.1013284145
       -0.0327013197       -0.0075457496        0.0030091257
        0.0498228007        0.0863139849       -0.1150298294
        0.0185348802        0.0321042700       -0.0390767246
       -0.0023248151       -0.0100471544        0.0182293604
       -0.0584947293       -0.1013284145        0.1176485193
       -0.0075384247       -0.0070363797        0.0182293707
       -0.2923068598       -0.0000144252       -0.0800588293
       -0.0086996198       -0.0000000801       -0.0218767843
       -0.0576140201        0.0327026152       -0.0075384094
       -0.0576140195       -0.0327013197       -0.0075384247
        0.4162341395       -0.0000094201        0.1170228603
       -0.0000134497       -0.0772198302       -0.0000011249
       -0.0000001501        0.0097876796       -0.0000004047
        0.0540216644       -0.0075457547        0.0070357953
       -0.0540182094       -0.0075457496       -0.0070363797
       -0.0000094201        0.0825233201       -0.0000022101
       -0.0996651642       -0.0000009248       -0.1150298044
       -0.0370697796       -0.0000004655       -0.0390767048
        0.0098609451       -0.0030094498        0.0182293752
        0.0098609308        0.0030091257        0.0182293707
        0.1170228603       -0.0000022101        0.1176484795
