    6   18
        0.1948462327        0.0000069051       -0.0000089811
       -0.0352966239       -0.0282342089       -0.0000006976
       -0.0200240538        0.0000000949       -0.0000026462
       -0.0200240562        0.0000000850       -0.0000025163
       -0.0352966238        0.0282439711       -0.0000007026
       -0.0842049052       -0.0000031376       -0.0000031562
        0.0000069051        0.1948462275       -0.0000089798
       -0.0282342913       -0.0679003814       -0.0000023464
        0.0000000800       -0.0200240537       -0.0000025862
        0.0000000750       -0.0200240699       -0.0000025877
        0.0282439876       -0.0679003701       -0.0000023375
       -0.0000031014       -0.0189973875        0.0000001013
       -0.0000089811       -0.0000089798        0.1783464899
       -0.0000006874       -0.0000025825       -0.0186223012
       -0.0000023812       -0.0000023924       -0.0612397798
       -0.0000024286       -0.0000024086       -0.0612397851
       -0.0000006848       -0.0000025636       -0.0186222962
       -0.0000035125        0.0000002538       -0.0186222998
       -0.0352966239       -0.0282342913       -0.0000006874
        0.0328277577        0.0417392786       -0.0000005927
        0.0012911273       -0.0056460013       -0.0047903501
        0.0012911212       -0.0056460162        0.0047903360
        0.0018512988        0.0011233062       -0.0000000038
       -0.0019647239       -0.0033265438       -0.0000000526
       -0.0282342089       -0.0679003814       -0.0000025825
        0.0417392786        0.0810145403       -0.0000014727
       -0.0056460151       -0.0052283438       -0.0082971026
       -0.0056460077       -0.0052283588        0.0082975272
       -0.0011234125       -0.0032367889       -0.0000000402
       -0.0010798327        0.0005793123       -0.0000000176
       -0.0000006976       -0.0000023464       -0.0186223012
       -0.0000005927       -0.0000014727        0.0334587978
       -0.0071264201       -0.0123432176       -0.0092644301
        0.0071264799        0.0123439787       -0.0092644289
        0.0000000000       -0.0000000414        0.0018461937
       -0.0000000216       -0.0000000176        0.0018462012
       -0.0200240538        0.0000000800       -0.0000023812
        0.0012911273       -0.0056460151       -0.0071264201
        0.0243952550        0.0000000313       -0.0000020312
        0.0015346737       -0.0000000048       -0.0000000175
        0.0012911300        0.0056460914       -0.0071264225
       -0.0084881601       -0.0000001501        0.0142538637
        0.0000000949       -0.0200240537       -0.0000023924
       -0.0056460013       -0.0052283438       -0.0123432176
        0.0000000313        0.0243952175       -0.0000015713
        0.0000000051        0.0015346814       -0.0000000038
        0.0056460789       -0.0052283399        0.0123439962
       -0.0000001015        0.0045508412       -0.0000001424
       -0.0000026462       -0.0000025862       -0.0612397798
       -0.0047903501       -0.0082971026       -0.0092644301
       -0.0000020312       -0.0000015713        0.0903994101
       -0.0000000125       -0.0000000099       -0.0013663076
       -0.0047903488        0.0082975349       -0.0092644375
        0.0095813586       -0.0000001137       -0.0092644500
       -0.0200240562        0.0000000750       -0.0000024286
        0.0012911212       -0.0056460077        0.0071264799
        0.0015346737        0.0000000051       -0.0000000125
        0.0243952550        0.0000000200       -0.0000011401
        0.0012911326        0.0056460925        0.0071264714
       -0.0084881539       -0.0000001363       -0.0142527638
        0.0000000850       -0.0200240699       -0.0000024086
       -0.0056460162       -0.0052283588        0.0123439787
       -0.0000000048        0.0015346814       -0.0000000099
        0.0000000200        0.0243952400       -0.0000015838
        0.0056460664       -0.0052283562       -0.0123432349
       -0.0000001127        0.0045508300       -0.0000001562
       -0.0000025163       -0.0000025877       -0.0612397851
        0.0047903360        0.0082975272       -0.0092644289
       -0.0000000175       -0.0000000038       -0.0013663076
       -0.0000011401       -0.0000015838        0.0903994078
        0.0047903450       -0.0082970914       -0.0092644363
       -0.0095807016       -0.0000001177       -0.0092644527
       -0.0352966238        0.0282439876       -0.0000006848
        0.0018512988       -0.0011234125        0.0000000000
        0.0012911300        0.0056460789       -0.0047903488
        0.0012911326        0.0056460664        0.0047903450
        0.0328277500       -0.0417293549       -0.0000005900
       -0.0019647226        0.0033266912       -0.0000000500
        0.0282439711       -0.0679003701       -0.0000025636
        0.0011233062       -0.0032367889       -0.0000000414
        0.0056460914       -0.0052283399        0.0082975349
        0.0056460925       -0.0052283562       -0.0082970914
       -0.0417293549        0.0810145201       -0.0000014626
        0.0010798223        0.0005793187       -0.0000000112
       -0.0000007026       -0.0000023375       -0.0186222962
       -0.0000000038       -0.0000000402        0.0018461937
       -0.0071264225        0.0123439962       -0.0092644375
        0.0071264714       -0.0123432349       -0.0092644363
       -0.0000005900       -0.0000014626        0.0334588051
       -0.0000000152       -0.0000000114        0.0018461800
       -0.0842049052       -0.0000031014       -0.0000035125
       -0.0019647239       -0.0010798327       -0.0000000216
       -0.0084881601       -0.0000001015        0.0095813586
       -0.0084881539       -0.0000001127       -0.0095807016
       -0.0019647226        0.0010798223       -0.0000000152
        0.1051106304       -0.0000031615       -0.0000019189
       -0.0000031376       -0.0189973875        0.0000002538
       -0.0033265438        0.0005793123       -0.0000000176
       -0.0000001501        0.0045508412       -0.0000001137
       -0.0000001363        0.0045508300       -0.0000001177
        0.0033266912        0.0005793187       -0.0000000114
       -0.0000031615        0.0087370302       -0.0000001413
       -0.0000031562        0.0000001013       -0.0186222998
       -0.0000000526       -0.0000000176        0.0018462012
        0.0142538637       -0.0000001424       -0.0092644500
       -0.0142527638       -0.0000001562       -0.0092644527
       -0.0000000500       -0.0000000112        0.0018461800
       -0.0000019189       -0.0000001413        0.0334588250
