   10   30
        0.5574265199       -0.0000581150        0.0000916837
       -0.2364323637       -0.0000292425        0.1088848700
       -0.0024350937       -0.0000024762        0.0335350600
       -0.0024350487       -0.0000025237       -0.0335467663
       -0.2364323538       -0.0000292187       -0.1087443700
       -0.0553941325        0.0000057801       -0.0000647187
       -0.0112992674       -0.0000005300        0.0161651288
       -0.0008463687       -0.0000004300       -0.0028366825
       -0.0008463788       -0.0000003950        0.0028361562
       -0.0112992450       -0.0000005112       -0.0161681487
       -0.0000581150        0.0858870300       -0.0001050863
       -0.0000270137       -0.0468383362       -0.0000165537
       -0.0000000612        0.0117436288       -0.0000046562
       -0.0000000600        0.0117436662       -0.0000046525
       -0.0000270275       -0.0468383162       -0.0000165737
        0.0000036038       -0.0122228962       -0.0000652400
        0.0000000088       -0.0044960225       -0.0000006037
       -0.0000000362        0.0027758850       -0.0000001737
       -0.0000000338        0.0027759013       -0.0000001650
        0.0000000088       -0.0044960112       -0.0000006075
        0.0000916837       -0.0001050863        0.7662742600
        0.1139573037       -0.0000142925       -0.1641037987
        0.0063287438       -0.0000021712       -0.0573027650
       -0.0063316425       -0.0000021850       -0.0573027938
       -0.1137852788       -0.0000142675       -0.1641037875
       -0.0000720062       -0.0000740888       -0.3333771925
       -0.0148270575       -0.0000000712        0.0105579238
       -0.0026321825       -0.0000003137       -0.0055949488
        0.0026322438       -0.0000003250       -0.0055949388
        0.0148247313       -0.0000000950        0.0105579175
       -0.2364323637       -0.0000270137        0.1139573037
        0.7463370750       -0.0001006100        0.0614658188
       -0.1056169425       -0.0000044375       -0.0713443712
       -0.0403462588       -0.0000007738       -0.0186501200
       -0.0637799300       -0.0000036475       -0.0136108350
        0.0080759137        0.0000005625       -0.0085327525
       -0.3068118050       -0.0000664737       -0.0817380962
        0.0088662163       -0.0000007537        0.0213768050
       -0.0067491538        0.0000000388        0.0007147762
       -0.0035335900       -0.0000006125       -0.0035050362
       -0.0000292425       -0.0468383362       -0.0000142925
       -0.0001006100        0.0858870000       -0.0000626100
       -0.0000058462       -0.0468383162       -0.0000377325
       -0.0000047363        0.0117436737        0.0000000862
       -0.0000036500        0.0117437612       -0.0000010375
       -0.0000008100       -0.0044960037        0.0000001300
       -0.0000586413       -0.0122228950       -0.0000028550
       -0.0000003500       -0.0044959950       -0.0000002250
       -0.0000001788        0.0027759125        0.0000000087
       -0.0000000962        0.0027759200       -0.0000000812
        0.1088848700       -0.0000165537       -0.1641037987
        0.0614658188       -0.0000626100        0.5773757675
       -0.0662959737       -0.0000390912       -0.2949756575
       -0.0458660050       -0.0000039288       -0.0193886588
        0.0136011200       -0.0000010037        0.0040403000
        0.0224629413       -0.0000011487       -0.0088167437
       -0.0817287837       -0.0000018537       -0.0819187575
       -0.0096179688        0.0000001600       -0.0096067512
        0.0009185400       -0.0000007325        0.0003075900
       -0.0037097250       -0.0000000675       -0.0029069962
       -0.0024350937       -0.0000000612        0.0063287438
       -0.1056169425       -0.0000058462       -0.0662959737
        0.6295974450       -0.0000743375       -0.0992901813
       -0.3173438350       -0.0000423725       -0.0025882238
       -0.0403462413       -0.0000047187        0.0458555688
       -0.0050875700        0.0000001450        0.0032051300
       -0.0031077125       -0.0000014350       -0.0260984137
       -0.1513815987       -0.0000218200        0.1323328988
       -0.0043861400        0.0000006963        0.0053103125
        0.0001142388       -0.0000009125        0.0013098613
       -0.0000024762        0.0117436288       -0.0000021712
       -0.0000044375       -0.0468383162       -0.0000390912
       -0.0000743375        0.0858869925       -0.0000888575
       -0.0000423537       -0.0468383250       -0.0000012125
       -0.0000007450        0.0117436700       -0.0000039325
       -0.0000002400        0.0027759050       -0.0000000625
        0.0000001038       -0.0044959837       -0.0000006687
       -0.0000200787       -0.0122228887       -0.0000413912
       -0.0000004713       -0.0044959987       -0.0000000850
       -0.0000000025        0.0027759251       -0.0000001700
        0.0335350600       -0.0000046562       -0.0573027650
       -0.0713443712       -0.0000377325       -0.2949756575
       -0.0992901813       -0.0000888575        0.6941348850
        0.0024708475       -0.0000012200       -0.0832835387
        0.0186539387        0.0000001013       -0.0193886425
        0.0029998213       -0.0000008588       -0.0013528525
        0.0048971450        0.0000008388        0.0023680100
        0.1323327425       -0.0000465000       -0.2372830250
       -0.0256841538       -0.0000012500        0.0036466012
        0.0015151113        0.0000002125       -0.0065552412
       -0.0024350487       -0.0000000600       -0.0063316425
       -0.0403462588       -0.0000047363       -0.0458660050
       -0.3173438350       -0.0000423537        0.0024708475
        0.6295974375       -0.0000743625        0.0993790700
       -0.1056169363       -0.0000058288        0.0662733700
       -0.0050875713        0.0000001475       -0.0032049563
        0.0001142413       -0.0000008975       -0.0013106462
       -0.0043861363        0.0000006750       -0.0053140088
       -0.1513815863       -0.0000218125       -0.1321407438
       -0.0031077375       -0.0000014037        0.0260994062
       -0.0000025237        0.0117436662       -0.0000021850
       -0.0000007738        0.0117436737       -0.0000039288
       -0.0000423725       -0.0468383250       -0.0000012200
       -0.0000743625        0.0858870225       -0.0000888850
       -0.0000044651       -0.0468383200       -0.0000391062
       -0.0000002013        0.0027758925       -0.0000000663
       -0.0000000163        0.0027758938       -0.0000001987
       -0.0000004913       -0.0044960263       -0.0000001063
       -0.0000201000       -0.0122229025       -0.0000414063
        0.0000000850       -0.0044960025       -0.0000006862
       -0.0335467663       -0.0000046525       -0.0573027938
       -0.0186501200        0.0000000862       -0.0193886588
       -0.0025882238       -0.0000012125       -0.0832835387
        0.0993790700       -0.0000888850        0.6941349025
        0.0713412762       -0.0000377063       -0.2949756875
       -0.0030002100       -0.0000008775       -0.0013528675
       -0.0015149175        0.0000002112       -0.0065552488
        0.0256841250       -0.0000012763        0.0036465825
       -0.1321450875       -0.0000464837       -0.2372830451
       -0.0048993775        0.0000008325        0.0023680163
       -0.2364323538       -0.0000270275       -0.1137852788
       -0.0637799300       -0.0000036500        0.0136011200
       -0.0403462413       -0.0000007450        0.0186539387
       -0.1056169363       -0.0000044651        0.0713412762
        0.7463370675       -0.0001006012       -0.0613185538
        0.0080759275        0.0000005562        0.0085307787
